,,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,# of Ranked Counties,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile
01000,Alabama,,67,,,,,,,,,,,,
01001,Alabama,Autauga,67,5,1,6,1,9,1,18,2,5,1,46,3
01003,Alabama,Baldwin,67,4,1,2,1,3,1,7,1,2,1,2,1
01005,Alabama,Barbour,67,44,3,54,4,55,4,38,3,62,4,13,1
01007,Alabama,Bibb,67,52,4,26,2,41,3,36,3,46,3,36,3
01009,Alabama,Blount,67,36,3,13,1,17,1,46,3,20,2,54,4
01011,Alabama,Bullock,67,32,2,64,4,67,4,52,4,63,4,39,3
01013,Alabama,Butler,67,56,4,59,4,52,4,57,4,55,4,59,4
01015,Alabama,Calhoun,67,42,3,29,2,14,1,17,1,28,2,37,3
01017,Alabama,Chambers,67,25,2,48,3,46,3,35,3,31,2,44,3
01019,Alabama,Cherokee,67,48,3,20,2,32,2,37,3,29,2,29,2
01021,Alabama,Chilton,67,19,2,24,2,45,3,47,3,24,2,47,3
01023,Alabama,Choctaw,67,40,3,46,3,58,4,29,2,48,3,18,2
01025,Alabama,Clarke,67,41,3,58,4,50,3,41,3,61,4,34,2
01027,Alabama,Clay,67,33,2,27,2,54,4,62,4,49,3,4,1
01029,Alabama,Cleburne,67,43,3,17,1,27,2,53,4,26,2,38,3
01031,Alabama,Coffee,67,8,1,7,1,16,1,20,2,9,1,15,1
01033,Alabama,Colbert,67,27,2,22,2,20,2,13,1,17,1,14,1
01035,Alabama,Conecuh,67,58,4,62,4,60,4,63,4,56,4,33,2
01037,Alabama,Coosa,67,55,4,57,4,61,4,26,2,45,3,20,2
01039,Alabama,Covington,67,47,3,32,2,37,3,54,4,27,2,25,2
01041,Alabama,Crenshaw,67,26,2,36,3,49,3,49,3,40,3,3,1
01043,Alabama,Cullman,67,20,2,14,1,25,2,23,2,13,1,41,3
01045,Alabama,Dale,67,23,2,9,1,36,3,16,1,18,2,24,2
01047,Alabama,Dallas,67,63,4,61,4,56,4,27,2,64,4,64,4
01049,Alabama,DeKalb,67,30,2,43,3,28,2,65,4,50,3,1,1
01051,Alabama,Elmore,67,7,1,4,1,8,1,15,1,6,1,66,4
01053,Alabama,Escambia,67,49,3,44,3,51,4,64,4,52,4,26,2
01055,Alabama,Etowah,67,45,3,19,2,31,2,43,3,22,2,7,1
01057,Alabama,Fayette,67,28,2,41,3,42,3,8,1,36,3,63,4
01059,Alabama,Franklin,67,18,2,28,2,23,2,66,4,39,3,10,1
01061,Alabama,Geneva,67,50,3,38,3,62,4,48,3,33,2,12,1
01063,Alabama,Greene,67,57,4,67,4,64,4,55,4,65,4,17,1
01065,Alabama,Hale,67,62,4,56,4,59,4,58,4,54,4,58,4
01067,Alabama,Henry,67,16,1,31,2,18,2,31,2,38,3,16,1
01069,Alabama,Houston,67,13,1,30,2,26,2,6,1,19,2,6,1
01071,Alabama,Jackson,67,37,3,42,3,30,2,19,2,25,2,65,4
01073,Alabama,Jefferson,67,35,3,11,1,7,1,3,1,14,1,48,3
01075,Alabama,Lamar,67,38,3,40,3,35,3,32,2,21,2,30,2
01077,Alabama,Lauderdale,67,10,1,12,1,5,1,9,1,12,1,32,2
01079,Alabama,Lawrence,67,46,3,18,2,24,2,56,4,37,3,43,3
01081,Alabama,Lee,67,2,1,10,1,4,1,10,1,4,1,56,4
01083,Alabama,Limestone,67,3,1,5,1,6,1,11,1,7,1,51,4
01085,Alabama,Lowndes,67,66,4,63,4,63,4,45,3,66,4,62,4
01087,Alabama,Macon,67,61,4,60,4,53,4,33,2,59,4,67,4
01089,Alabama,Madison,67,6,1,3,1,2,1,1,1,3,1,5,1
