"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",58233,4379,22921,77.2,2021,6,9,"5",18,5,7830,10729,7245,20,9
1003,"Alabama","Baldwin",59871,20981,77060,78.2,2021,2,3,"4",7,2,7680,10269,7708,16,8
1005,"Alabama","Barbour",35972,2145,18613,74.1,2021,51,59,"44",38,62,11477,13846,9424,30,11
1007,"Alabama","Bibb",47918,1641,15663,73.4,2021,45,42,"52",36,46,12173,13027,12377,24,10
1013,"Alabama","Butler",39944,1720,14921,74.2,2021,57,55,"56",57,55,12848,13158,13128,28,12
1015,"Alabama","Calhoun",47747,9516,39955,73.5,2021,36,19,"42",17,28,11327,10559,11837,24,9
1017,"Alabama","Chambers",42015,2913,16816,75,2021,43,36,"25",35,31,10371,9759,10550,25,13
1021,"Alabama","Chilton",49692,5484,37858,74.9,2021,18,39,"19",47,24,10109,10080,10549,24,9
1023,"Alabama","Choctaw",39808,1221,13859,74.7,2021,48,49,"40",29,48,11232,13268,9734,26,11
1025,"Alabama","Clarke",43822,2220,19628,74.6,2021,50,58,"41",41,61,11294,13839,9219,27,13
1031,"Alabama","Coffee",57299,4963,23573,76.4,2021,8,13,"8",20,9,8355,10354,8768,22,9
1033,"Alabama","Colbert",46683,4630,23891,74.6,2021,24,16,"27",13,17,10467,11544,10602,22,11
1035,"Alabama","Conecuh",41539,1088,10708,73.1,2021,61,60,"58",63,56,13182,16272,10382,29,14
1039,"Alabama","Covington",44836,3242,26304,73.7,2021,42,34,"47",54,27,11526,14045,11428,23,10
1041,"Alabama","Crenshaw",43309,1285,13906,74.4,2021,27,41,"26",49,40,10407,9031,11483,25,10
1045,"Alabama","Dale",45120,4087,25572,75.3,2021,13,18,"23",16,18,10261,11592,10383,22,8
1047,"Alabama","Dallas",34034,3273,19999,72.2,2021,63,62,"63",27,64,13776,14573,11564,30,14
1051,"Alabama","Elmore",62310,5894,42973,76.3,2021,7,11,"7",15,6,8112,10818,7676,19,9
1053,"Alabama","Escambia",42712,3789,24337,73.4,2021,49,53,"49",64,52,11843,13682,11145,28,10
1055,"Alabama","Etowah",43047,9542,39144,73.3,2021,32,24,"45",43,22,11495,13447,11467,22,9
1061,"Alabama","Geneva",43089,2752,24015,73.7,2021,47,48,"50",48,33,11998,15297,12283,26,8
1065,"Alabama","Hale",40745,1228,14053,72.8,2021,59,56,"62",58,54,13672,15630,10844,29,12
1067,"Alabama","Henry",48597,1693,15183,76,2021,17,21,"16",31,38,9576,11637,8915,23,10
1069,"Alabama","Houston",50138,10258,34327,76.1,2021,16,15,"13",6,19,9244,13201,7761,23,11
1073,"Alabama","Jefferson",54127,56046,64752,74.6,2021,20,6,"35",3,14,11082,13544,9390,20,11
1077,"Alabama","Lauderdale",48188,7919,45701,76.6,2021,9,7,"10",9,12,8624,11823,8371,20,10
1079,"Alabama","Lawrence",47797,3444,31348,74.1,2021,31,37,"46",56,37,11511,15882,11894,24,8
1081,"Alabama","Lee",54160,13669,38441,77.9,2021,5,4,"2",10,4,7241,11170,6276,20,9
1083,"Alabama","Limestone",64729,7948,47690,77.7,2021,4,8,"3",11,7,7447,7767,7776,20,9
1089,"Alabama","Madison",68609,26571,55048,77.7,2021,3,2,"6",1,3,8089,9802,8002,18,10
1091,"Alabama","Marengo",38838,1479,14575,72.3,2021,55,40,"60",14,51,13500,14394,10160,27,12
1097,"Alabama","Mobile",49492,42026,82682,75.2,2021,22,22,"24",30,34,10290,12756,9168,21,12
1099,"Alabama","Monroe",40005,2127,18234,74.3,2021,53,57,"53",42,58,12250,16732,8661,28,12
1101,"Alabama","Montgomery",52711,20582,24063,76.5,2021,19,12,"14",5,15,9500,11266,7236,23,13
1103,"Alabama","Morgan",54355,11873,46120,75.3,2021,11,10,"17",22,10,9710,13083,9728,20,9
1107,"Alabama","Pickens",40249,1616,19746,76.2,2021,25,32,"11",21,47,8848,9857,8161,27,13
1109,"Alabama","Pike",41271,3470,17002,75,2021,30,26,"31",40,42,10633,13968,8345,25,11
1111,"Alabama","Randolph",42922,2169,18638,73.6,2021,46,44,"54",50,41,12343,15000,12040,24,9
1113,"Alabama","Russell",43670,5487,18748,73.7,2021,38,28,"39",24,23,11200,11551,11558,25,11
