"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy"
1001,"Alabama","Autauga",58233,4379,22921,77.2
1003,"Alabama","Baldwin",59871,20981,77060,78.2
1005,"Alabama","Barbour",35972,2145,18613,74.1
1007,"Alabama","Bibb",47918,1641,15663,73.4
1009,"Alabama","Blount",52902,6070,51562,74.4
1011,"Alabama","Bullock",31906,764,5607,74.4
1013,"Alabama","Butler",39944,1720,14921,74.2
1015,"Alabama","Calhoun",47747,9516,39955,73.5
1017,"Alabama","Chambers",42015,2913,16816,75
1019,"Alabama","Cherokee",45982,2512,22282,74.5
1021,"Alabama","Chilton",49692,5484,37858,74.9
1023,"Alabama","Choctaw",39808,1221,13859,74.7
1025,"Alabama","Clarke",43822,2220,19628,74.6
1027,"Alabama","Clay",40562,1533,13932,74.9
1029,"Alabama","Cleburne",51276,1489,14972,74.4
1031,"Alabama","Coffee",57299,4963,23573,76.4
1033,"Alabama","Colbert",46683,4630,23891,74.6
1035,"Alabama","Conecuh",41539,1088,10708,73.1
1037,"Alabama","Coosa",42024,930,11539,74.9
1039,"Alabama","Covington",44836,3242,26304,73.7
1041,"Alabama","Crenshaw",43309,1285,13906,74.4
1043,"Alabama","Cullman",50897,8641,58889,74.5
1045,"Alabama","Dale",45120,4087,25572,75.3
1047,"Alabama","Dallas",34034,3273,19999,72.2
1049,"Alabama","DeKalb",44277,10189,64091,74.5
1051,"Alabama","Elmore",62310,5894,42973,76.3
1053,"Alabama","Escambia",42712,3789,24337,73.4
1055,"Alabama","Etowah",43047,9542,39144,73.3
1057,"Alabama","Fayette",44212,1462,13833,74.5
1059,"Alabama","Franklin",44874,3841,22309,75
1061,"Alabama","Geneva",43089,2752,24015,73.7
1063,"Alabama","Greene",28699,676,9045,74.9
1065,"Alabama","Hale",40745,1228,14053,72.8
1067,"Alabama","Henry",48597,1693,15183,76
1069,"Alabama","Houston",50138,10258,34327,76.1
1071,"Alabama","Jackson",44322,5080,40994,74
1073,"Alabama","Jefferson",54127,56046,64752,74.6
1075,"Alabama","Lamar",42686,1166,14564,75
1077,"Alabama","Lauderdale",48188,7919,45701,76.6
1079,"Alabama","Lawrence",47797,3444,31348,74.1
1081,"Alabama","Lee",54160,13669,38441,77.9
1083,"Alabama","Limestone",64729,7948,47690,77.7
1085,"Alabama","Lowndes",33930,870,11299,71.2
1087,"Alabama","Macon",34281,1424,11916,72.8
1089,"Alabama","Madison",68609,26571,55048,77.7
1091,"Alabama","Marengo",38838,1479,14575,72.3
1093,"Alabama","Marion",44675,2798,27346,74.5
1095,"Alabama","Marshall",48913,10485,49550,74.9
1097,"Alabama","Mobile",49492,42026,82682,75.2
1099,"Alabama","Monroe",40005,2127,18234,74.3
1101,"Alabama","Montgomery",52711,20582,24063,76.5
1103,"Alabama","Morgan",54355,11873,46120,75.3
1105,"Alabama","Perry",29572,718,10591,72.3
1107,"Alabama","Pickens",40249,1616,19746,76.2
1109,"Alabama","Pike",41271,3470,17002,75
1111,"Alabama","Randolph",42922,2169,18638,73.6
1113,"Alabama","Russell",43670,5487,18748,73.7
1115,"Alabama","St. Clair",65403,7782,60853,75.5
1117,"Alabama","Shelby",77801,13577,44762,80.7
1119,"Alabama","Sumter",29209,1196,13763,73.7
1121,"Alabama","Talladega",47719,7071,45931,73.3
1123,"Alabama","Tallapoosa",47100,3432,30890,74.7
1125,"Alabama","Tuscaloosa",52307,16171,49653,76.7
1127,"Alabama","Walker",45991,6104,49656,70.5
1129,"Alabama","Washington",48864,1655,17581,75.7
1131,"Alabama","Wilcox",30998,864,11670,70.8
1133,"Alabama","Winston",40827,2522,20785,74.9
2013,"Alaska","Aleutians East",66923,786,3141,113.5
2016,"Alaska","Aleutians West",84726,837,5561,86
2020,"Alaska","Anchorage",82512,25603,12015,79.3
2050,"Alaska","Bethel",48262,2464,12579,71.6
2068,"Alaska","Denali",78434,179,1826,79.8
2070,"Alaska","Dillingham",57436,685,4847,71.9
2090,"Alaska","Fairbanks North Star",74076,8606,30124,80.5
2100,"Alaska","Haines",62548,226,2508,87.5
2110,"Alaska","Juneau",85419,2502,6738,81.1
2122,"Alaska","Kenai Peninsula",68625,6001,43953,79
2130,"Alaska","Ketchikan Gateway",75706,1498,3125,80.1
