"FIPS","State","County","Health_Outcomes_Rank","Health_Factors_Rank"
1001,"Alabama","Autauga","6","9"
1003,"Alabama","Baldwin","2","3"
1005,"Alabama","Barbour","51","59"
1007,"Alabama","Bibb","45","42"
1009,"Alabama","Blount","23","25"
1011,"Alabama","Bullock","54","65"
1013,"Alabama","Butler","57","55"
1015,"Alabama","Calhoun","36","19"
1017,"Alabama","Chambers","43","36"
1019,"Alabama","Cherokee","34","30"
1021,"Alabama","Chilton","18","39"
1023,"Alabama","Choctaw","48","49"
1025,"Alabama","Clarke","50","58"
1027,"Alabama","Clay","29","52"
1029,"Alabama","Cleburne","26","33"
1031,"Alabama","Coffee","8","13"
1033,"Alabama","Colbert","24","16"
1035,"Alabama","Conecuh","61","60"
1037,"Alabama","Coosa","56","47"
1039,"Alabama","Covington","42","34"
1041,"Alabama","Crenshaw","27","41"
1043,"Alabama","Cullman","14","17"
1045,"Alabama","Dale","13","18"
1047,"Alabama","Dallas","63","62"
1049,"Alabama","DeKalb","35","46"
1051,"Alabama","Elmore","7","11"
1053,"Alabama","Escambia","49","53"
1055,"Alabama","Etowah","32","24"
1057,"Alabama","Fayette","33","29"
1059,"Alabama","Franklin","21","43"
1061,"Alabama","Geneva","47","48"
1063,"Alabama","Greene","64","64"
1065,"Alabama","Hale","59","56"
1067,"Alabama","Henry","17","21"
1069,"Alabama","Houston","16","15"
1071,"Alabama","Jackson","44","31"
1073,"Alabama","Jefferson","20","6"
1075,"Alabama","Lamar","39","27"
1077,"Alabama","Lauderdale","9","7"
1079,"Alabama","Lawrence","31","37"
1081,"Alabama","Lee","5","4"
1083,"Alabama","Limestone","4","8"
1085,"Alabama","Lowndes","66","66"
1087,"Alabama","Macon","60","61"
1089,"Alabama","Madison","3","2"
1091,"Alabama","Marengo","55","40"
1093,"Alabama","Marion","28","45"
1095,"Alabama","Marshall","15","20"
1097,"Alabama","Mobile","22","22"
1099,"Alabama","Monroe","53","57"
1101,"Alabama","Montgomery","19","12"
1103,"Alabama","Morgan","11","10"
1105,"Alabama","Perry","65","63"
1107,"Alabama","Pickens","25","32"
1109,"Alabama","Pike","30","26"
1111,"Alabama","Randolph","46","44"
1113,"Alabama","Russell","38","28"
1115,"Alabama","St. Clair","12","14"
1117,"Alabama","Shelby","1","1"
1119,"Alabama","Sumter","58","54"
1121,"Alabama","Talladega","52","38"
1123,"Alabama","Tallapoosa","41","23"
1125,"Alabama","Tuscaloosa","10","5"
1127,"Alabama","Walker","62","35"
1129,"Alabama","Washington","40","50"
1131,"Alabama","Wilcox","67","67"
1133,"Alabama","Winston","37","51"
2013,"Alaska","Aleutians East","NR","NR"
2016,"Alaska","Aleutians West","16","12"
2020,"Alaska","Anchorage","9","4"
2050,"Alaska","Bethel","23","24"
2060,"Alaska","Bristol Bay","NR","NR"
2068,"Alaska","Denali","12","5"
2070,"Alaska","Dillingham","21","19"
2090,"Alaska","Fairbanks North Star","6","3"
2100,"Alaska","Haines","11","6"
2105,"Alaska","Hoonah-Angoon","15","17"
2110,"Alaska","Juneau","4","1"
2122,"Alaska","Kenai Peninsula","7","13"
2130,"Alaska","Ketchikan Gateway","10","10"
2150,"Alaska","Kodiak Island","1","7"
2158,"Alaska","Kusilvak","25","25"
2164,"Alaska","Lake and Peninsula","19","20"
2170,"Alaska","Matanuska-Susitna","8","11"
2180,"Alaska","Nome","22","22"
2185,"Alaska","North Slope","17","16"
2188,"Alaska","Northwest Arctic","24","23"
2195,"Alaska","Petersburg","13","9"
2198,"Alaska","Prince of Wales-Hyder","18","18"
2220,"Alaska","Sitka","2","2"
2230,"Alaska","Skagway","NR","NR"
2240,"Alaska","Southeast Fairbanks","3","14"
2261,"Alaska","Valdez-Cordova","5","8"
2275,"Alaska","Wrangell","14","15"
2282,"Alaska","Yakutat","NR","NR"
2290,"Alaska","Yukon-Koyukuk","20","21"
4001,"Arizona","Apache","15","15"
4003,"Arizona","Cochise","8","6"
4005,"Arizona","Coconino","9","1"
4007,"Arizona","Gila","13","10"
4009,"Arizona","Graham","10","7"
4011,"Arizona","Greenlee","4","5"
4012,"Arizona","La Paz","12","14"
4013,"Arizona","Maricopa","2","3"
4015,"Arizona","Mohave","11","11"
4017,"Arizona","Navajo","14","12"
4019,"Arizona","Pima","6","4"
4021,"Arizona","Pinal","7","8"
4023,"Arizona","Santa Cruz","3","9"
4025,"Arizona","Yavapai","5","2"
4027,"Arizona","Yuma","1","13"
5001,"Arkansas","Arkansas","47","21"
5003,"Arkansas","Ashley","54","57"
5005,"Arkansas","Baxter","5","7"
5007,"Arkansas","Benton","1","1"
5009,"Arkansas","Boone","14","8"
5011,"Arkansas","Bradley","64","42"
5013,"Arkansas","Calhoun","57","23"
5015,"Arkansas","Carroll","17","13"
5017,"Arkansas","Chicot","70","72"
5019,"Arkansas","Clark","9","6"
5021,"Arkansas","Clay","59","58"
5023,"Arkansas","Cleburne","30","18"
5025,"Arkansas","Cleveland","22","17"
5027,"Arkansas","Columbia","38","43"
5029,"Arkansas","Conway","33","28"
5031,"Arkansas","Craighead","16","9"
5033,"Arkansas","Crawford","15","20"
5035,"Arkansas","Crittenden","71","49"
5037,"Arkansas","Cross","65","55"
5039,"Arkansas","Dallas","55","48"
5041,"Arkansas","Desha","73","73"
5043,"Arkansas","Drew","42","35"
5045,"Arkansas","Faulkner","4","5"
5047,"Arkansas","Franklin","50","25"
5049,"Arkansas","Fulton","56","34"
5051,"Arkansas","Garland","36","11"
5053,"Arkansas","Grant","7","10"
5055,"Arkansas","Greene","23","16"
5057,"Arkansas","Hempstead","40","40"
5059,"Arkansas","Hot Spring","48","24"
5061,"Arkansas","Howard","39","44"
5063,"Arkansas","Independence","8","14"
5065,"Arkansas","Izard","46","45"
5067,"Arkansas","Jackson","63","70"
5069,"Arkansas","Jefferson","67","61"
5071,"Arkansas","Johnson","24","46"
5073,"Arkansas","Lafayette","37","66"
5075,"Arkansas","Lawrence","34","51"
5077,"Arkansas","Lee","68","74"
5079,"Arkansas","Lincoln","41","65"
5081,"Arkansas","Little River","27","31"
5083,"Arkansas","Logan","51","36"
5085,"Arkansas","Lonoke","12","12"
5087,"Arkansas","Madison","43","33"
5089,"Arkansas","Marion","45","27"
5091,"Arkansas","Miller","53","41"
5093,"Arkansas","Mississippi","72","68"
5095,"Arkansas","Monroe","74","69"
5097,"Arkansas","Montgomery","11","60"
5099,"Arkansas","Nevada","35","54"
5101,"Arkansas","Newton","26","30"
5103,"Arkansas","Ouachita","60","50"
5105,"Arkansas","Perry","25","26"
5107,"Arkansas","Phillips","75","75"
5109,"Arkansas","Pike","10","22"
5111,"Arkansas","Poinsett","69","63"
5113,"Arkansas","Polk","28","37"
5115,"Arkansas","Pope","6","19"
5117,"Arkansas","Prairie","21","29"
5119,"Arkansas","Pulaski","18","4"
5121,"Arkansas","Randolph","52","39"
5123,"Arkansas","St. Francis","66","71"
5125,"Arkansas","Saline","3","2"
5127,"Arkansas","Scott","58","56"
5129,"Arkansas","Searcy","32","52"
5131,"Arkansas","Sebastian","19","15"
5133,"Arkansas","Sevier","20","53"
5135,"Arkansas","Sharp","49","64"
5137,"Arkansas","Stone","44","62"
5139,"Arkansas","Union","62","38"
5141,"Arkansas","Van Buren","31","47"
5143,"Arkansas","Washington","2","3"
5145,"Arkansas","White","13","32"
5147,"Arkansas","Woodruff","61","67"
5149,"Arkansas","Yell","29","59"
6001,"California","Alameda","14","6"
6003,"California","Alpine","32","44"
6005,"California","Amador","24","20"
6007,"California","Butte","35","30"
6009,"California","Calaveras","28","27"
6011,"California","Colusa","29","48"
6013,"California","Contra Costa","15","7"
6015,"California","Del Norte","50","52"
6017,"California","El Dorado","11","10"
6019,"California","Fresno","46","51"
6021,"California","Glenn","44","49"
6023,"California","Humboldt","45","29"
6025,"California","Imperial","27","58"
6027,"California","Inyo","42","22"
6029,"California","Kern","53","56"
6031,"California","Kings","33","53"
6033,"California","Lake","57","47"
6035,"California","Lassen","48","42"
6037,"California","Los Angeles","22","31"
6039,"California","Madera","36","55"
6041,"California","Marin","1","1"
6043,"California","Mariposa","30","28"
6045,"California","Mendocino","41","36"
6047,"California","Merced","38","54"
6049,"California","Modoc","55","50"
6051,"California","Mono","19","17"
6053,"California","Monterey","20","35"
6055,"California","Napa","5","14"
6057,"California","Nevada","17","8"
6059,"California","Orange","6","9"
6061,"California","Placer","3","2"
6063,"California","Plumas","54","33"
6065,"California","Riverside","25","32"
6067,"California","Sacramento","26","24"
6069,"California","San Benito","21","25"
6071,"California","San Bernardino","43","40"
6073,"California","San Diego","13","18"
6075,"California","San Francisco","7","5"
6077,"California","San Joaquin","39","43"
6079,"California","San Luis Obispo","16","12"
6081,"California","San Mateo","2","3"
6083,"California","Santa Barbara","18","19"
6085,"California","Santa Clara","4","4"
6087,"California","Santa Cruz","9","15"
6089,"California","Shasta","49","26"
6091,"California","Sierra","40","34"
6093,"California","Siskiyou","56","37"
6095,"California","Solano","23","21"
6097,"California","Sonoma","8","11"
6099,"California","Stanislaus","34","39"
6101,"California","Sutter","37","38"
6103,"California","Tehama","51","46"
6105,"California","Trinity","58","41"
6107,"California","Tulare","47","57"
6109,"California","Tuolumne","31","23"
6111,"California","Ventura","12","16"
6113,"California","Yolo","10","13"
6115,"California","Yuba","52","45"
8001,"Colorado","Adams","30","41"
8003,"Colorado","Alamosa","53","44"
8005,"Colorado","Arapahoe","15","20"
8007,"Colorado","Archuleta","18","23"
8009,"Colorado","Baca","36","47"
8011,"Colorado","Bent","57","56"
8013,"Colorado","Boulder","5","4"
8014,"Colorado","Broomfield","4","2"
8015,"Colorado","Chaffee","14","14"
8017,"Colorado","Cheyenne","37","32"
8019,"Colorado","Clear Creek","13","15"
8021,"Colorado","Conejos","56","49"
8023,"Colorado","Costilla","55","59"
8025,"Colorado","Crowley","46","60"
8027,"Colorado","Custer","43","25"
8029,"Colorado","Delta","48","45"
8031,"Colorado","Denver","24","30"
8033,"Colorado","Dolores","51","39"
8035,"Colorado","Douglas","1","1"
8037,"Colorado","Eagle","3","11"
8039,"Colorado","Elbert","7","17"
8041,"Colorado","El Paso","32","22"
8043,"Colorado","Fremont","44","51"
8045,"Colorado","Garfield","17","26"
8047,"Colorado","Gilpin","28","8"
8049,"Colorado","Grand","20","16"
8051,"Colorado","Gunnison","10","9"
8053,"Colorado","Hinsdale","NR","NR"
8055,"Colorado","Huerfano","49","52"
8057,"Colorado","Jackson","NR","NR"
8059,"Colorado","Jefferson","12","13"
8061,"Colorado","Kiowa","40","34"
8063,"Colorado","Kit Carson","42","38"
8065,"Colorado","Lake","29","31"
8067,"Colorado","La Plata","11","19"
8069,"Colorado","Larimer","9","10"
8071,"Colorado","Las Animas","58","55"
8073,"Colorado","Lincoln","27","40"
8075,"Colorado","Logan","33","35"
8077,"Colorado","Mesa","34","36"
8079,"Colorado","Mineral","NR","NR"
8081,"Colorado","Moffat","35","42"
8083,"Colorado","Montezuma","50","50"
8085,"Colorado","Montrose","39","37"
8087,"Colorado","Morgan","45","43"
8089,"Colorado","Otero","59","57"
8091,"Colorado","Ouray","26","6"
8093,"Colorado","Park","23","18"
8095,"Colorado","Phillips","25","24"
8097,"Colorado","Pitkin","2","3"
8099,"Colorado","Prowers","47","53"
8101,"Colorado","Pueblo","54","54"
8103,"Colorado","Rio Blanco","21","28"
8105,"Colorado","Rio Grande","52","48"
8107,"Colorado","Routt","6","5"
8109,"Colorado","Saguache","60","58"
8111,"Colorado","San Juan","NR","NR"
