"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Life.Expectancy..Black.","Life.Expectancy..White.","Year"
1001,"Alabama","Autauga",58233,4379,22921,77.2,74.9,77.5,2021
1003,"Alabama","Baldwin",59871,20981,77060,78.2,75.3,78.2,2021
1005,"Alabama","Barbour",35972,2145,18613,74.1,72.2,75.7,2021
1007,"Alabama","Bibb",47918,1641,15663,73.4,72.2,73.2,2021
1011,"Alabama","Bullock",31906,764,5607,74.4,72.2,78.7,2021
1013,"Alabama","Butler",39944,1720,14921,74.2,74,73.8,2021
1015,"Alabama","Calhoun",47747,9516,39955,73.5,73.7,73,2021
1017,"Alabama","Chambers",42015,2913,16816,75,76.7,74.4,2021
1021,"Alabama","Chilton",49692,5484,37858,74.9,76,74.4,2021
1023,"Alabama","Choctaw",39808,1221,13859,74.7,73,76,2021
1025,"Alabama","Clarke",43822,2220,19628,74.6,71.5,76.9,2021
1027,"Alabama","Clay",40562,1533,13932,74.9,71,75.3,2021
1031,"Alabama","Coffee",57299,4963,23573,76.4,75,75.9,2021
1033,"Alabama","Colbert",46683,4630,23891,74.6,74.2,74.4,2021
1035,"Alabama","Conecuh",41539,1088,10708,73.1,71,75.1,2021
1037,"Alabama","Coosa",42024,930,11539,74.9,76.1,74.8,2021
1039,"Alabama","Covington",44836,3242,26304,73.7,71.6,73.7,2021
1041,"Alabama","Crenshaw",43309,1285,13906,74.4,77.3,73.3,2021
1045,"Alabama","Dale",45120,4087,25572,75.3,73,75.3,2021
1047,"Alabama","Dallas",34034,3273,19999,72.2,71.7,73.5,2021
1051,"Alabama","Elmore",62310,5894,42973,76.3,73,76.7,2021
1053,"Alabama","Escambia",42712,3789,24337,73.4,72.4,73.7,2021
1055,"Alabama","Etowah",43047,9542,39144,73.3,71.9,73.3,2021
1057,"Alabama","Fayette",44212,1462,13833,74.5,69.6,75,2021
1061,"Alabama","Geneva",43089,2752,24015,73.7,72.4,73.3,2021
1065,"Alabama","Hale",40745,1228,14053,72.8,71.5,74.6,2021
1067,"Alabama","Henry",48597,1693,15183,76,73.8,76.6,2021
1069,"Alabama","Houston",50138,10258,34327,76.1,72.1,77.4,2021
1071,"Alabama","Jackson",44322,5080,40994,74,74.1,73.5,2021
1073,"Alabama","Jefferson",54127,56046,64752,74.6,72.7,76,2021
1077,"Alabama","Lauderdale",48188,7919,45701,76.6,73.2,76.8,2021
1079,"Alabama","Lawrence",47797,3444,31348,74.1,70.2,73.7,2021
1081,"Alabama","Lee",54160,13669,38441,77.9,74.3,78.7,2021
1083,"Alabama","Limestone",64729,7948,47690,77.7,77.7,77.3,2021
1085,"Alabama","Lowndes",33930,870,11299,71.2,69.2,76.4,2021
1087,"Alabama","Macon",34281,1424,11916,72.8,72.1,75.1,2021
1089,"Alabama","Madison",68609,26571,55048,77.7,76.2,77.6,2021
1091,"Alabama","Marengo",38838,1479,14575,72.3,71.8,75.4,2021
1095,"Alabama","Marshall",48913,10485,49550,74.9,74.5,74.3,2021
1097,"Alabama","Mobile",49492,42026,82682,75.2,73.2,76,2021
1099,"Alabama","Monroe",40005,2127,18234,74.3,71.5,76.6,2021
1101,"Alabama","Montgomery",52711,20582,24063,76.5,74.8,78.4,2021
1103,"Alabama","Morgan",54355,11873,46120,75.3,72.8,75.2,2021
1105,"Alabama","Perry",29572,718,10591,72.3,71.4,73.2,2021
1107,"Alabama","Pickens",40249,1616,19746,76.2,76.3,76.3,2021
1109,"Alabama","Pike",41271,3470,17002,75,71.8,76.9,2021
1111,"Alabama","Randolph",42922,2169,18638,73.6,71.5,73.8,2021
1113,"Alabama","Russell",43670,5487,18748,73.7,74.3,73,2021
1115,"Alabama","St. Clair",65403,7782,60853,75.5,76,75.2,2021
