"FIPS","State","County","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",7830,10729,7245,20,9
1003,"Alabama","Baldwin",7680,10269,7708,16,8
1005,"Alabama","Barbour",11477,13846,9424,30,11
1007,"Alabama","Bibb",12173,13027,12377,24,10
1013,"Alabama","Butler",12848,13158,13128,28,12
1015,"Alabama","Calhoun",11327,10559,11837,24,9
1017,"Alabama","Chambers",10371,9759,10550,25,13
1021,"Alabama","Chilton",10109,10080,10549,24,9
1023,"Alabama","Choctaw",11232,13268,9734,26,11
1025,"Alabama","Clarke",11294,13839,9219,27,13
1031,"Alabama","Coffee",8355,10354,8768,22,9
1033,"Alabama","Colbert",10467,11544,10602,22,11
1035,"Alabama","Conecuh",13182,16272,10382,29,14
1039,"Alabama","Covington",11526,14045,11428,23,10
1041,"Alabama","Crenshaw",10407,9031,11483,25,10
1045,"Alabama","Dale",10261,11592,10383,22,8
1047,"Alabama","Dallas",13776,14573,11564,30,14
1051,"Alabama","Elmore",8112,10818,7676,19,9
1053,"Alabama","Escambia",11843,13682,11145,28,10
1055,"Alabama","Etowah",11495,13447,11467,22,9
1061,"Alabama","Geneva",11998,15297,12283,26,8
1065,"Alabama","Hale",13672,15630,10844,29,12
1067,"Alabama","Henry",9576,11637,8915,23,10
1069,"Alabama","Houston",9244,13201,7761,23,11
1073,"Alabama","Jefferson",11082,13544,9390,20,11
1077,"Alabama","Lauderdale",8624,11823,8371,20,10
1079,"Alabama","Lawrence",11511,15882,11894,24,8
1081,"Alabama","Lee",7241,11170,6276,20,9
1083,"Alabama","Limestone",7447,7767,7776,20,9
1089,"Alabama","Madison",8089,9802,8002,18,10
1091,"Alabama","Marengo",13500,14394,10160,27,12
1097,"Alabama","Mobile",10290,12756,9168,21,12
1099,"Alabama","Monroe",12250,16732,8661,28,12
1101,"Alabama","Montgomery",9500,11266,7236,23,13
1103,"Alabama","Morgan",9710,13083,9728,20,9
1107,"Alabama","Pickens",8848,9857,8161,27,13
1109,"Alabama","Pike",10633,13968,8345,25,11
1111,"Alabama","Randolph",12343,15000,12040,24,9
1113,"Alabama","Russell",11200,11551,11558,25,11
1115,"Alabama","St. Clair",9242,7691,9695,21,9
1117,"Alabama","Shelby",5942,7106,5926,15,7
1121,"Alabama","Talladega",12029,12461,12181,27,11
1123,"Alabama","Tallapoosa",10208,13214,9162,25,14
1125,"Alabama","Tuscaloosa",8535,10848,7472,21,11
1127,"Alabama","Walker",14797,14458,15196,24,11
1129,"Alabama","Washington",10145,9110,9182,26,12
2020,"Alaska","Anchorage",7599,9877,6135,14,6
