"FIPS","State","County","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank"
1001,"Alabama","Autauga","5","18","5"
1003,"Alabama","Baldwin","4","7","2"
1005,"Alabama","Barbour","44","38","62"
1007,"Alabama","Bibb","52","36","46"
1009,"Alabama","Blount","36","46","20"
1011,"Alabama","Bullock","32","52","63"
1013,"Alabama","Butler","56","57","55"
1015,"Alabama","Calhoun","42","17","28"
1017,"Alabama","Chambers","25","35","31"
1019,"Alabama","Cherokee","48","37","29"
1021,"Alabama","Chilton","19","47","24"
1023,"Alabama","Choctaw","40","29","48"
1025,"Alabama","Clarke","41","41","61"
1027,"Alabama","Clay","33","62","49"
1029,"Alabama","Cleburne","43","53","26"
1031,"Alabama","Coffee","8","20","9"
1033,"Alabama","Colbert","27","13","17"
1035,"Alabama","Conecuh","58","63","56"
1037,"Alabama","Coosa","55","26","45"
1039,"Alabama","Covington","47","54","27"
1041,"Alabama","Crenshaw","26","49","40"
1043,"Alabama","Cullman","20","23","13"
1045,"Alabama","Dale","23","16","18"
1047,"Alabama","Dallas","63","27","64"
1049,"Alabama","DeKalb","30","65","50"
1051,"Alabama","Elmore","7","15","6"
1053,"Alabama","Escambia","49","64","52"
1055,"Alabama","Etowah","45","43","22"
1057,"Alabama","Fayette","28","8","36"
1059,"Alabama","Franklin","18","66","39"
1061,"Alabama","Geneva","50","48","33"
1063,"Alabama","Greene","57","55","65"
1065,"Alabama","Hale","62","58","54"
1067,"Alabama","Henry","16","31","38"
1069,"Alabama","Houston","13","6","19"
1071,"Alabama","Jackson","37","19","25"
1073,"Alabama","Jefferson","35","3","14"
1075,"Alabama","Lamar","38","32","21"
1077,"Alabama","Lauderdale","10","9","12"
1079,"Alabama","Lawrence","46","56","37"
1081,"Alabama","Lee","2","10","4"
1083,"Alabama","Limestone","3","11","7"
1085,"Alabama","Lowndes","66","45","66"
1087,"Alabama","Macon","61","33","59"
1089,"Alabama","Madison","6","1","3"
1091,"Alabama","Marengo","60","14","51"
1093,"Alabama","Marion","29","61","35"
1095,"Alabama","Marshall","15","28","16"
1097,"Alabama","Mobile","24","30","34"
1099,"Alabama","Monroe","53","42","58"
1101,"Alabama","Montgomery","14","5","15"
1103,"Alabama","Morgan","17","22","10"
1105,"Alabama","Perry","64","59","60"
1107,"Alabama","Pickens","11","21","47"
1109,"Alabama","Pike","31","40","42"
1111,"Alabama","Randolph","54","50","41"
1113,"Alabama","Russell","39","24","23"
1115,"Alabama","St. Clair","12","34","11"
1117,"Alabama","Shelby","1","2","1"
