"FIPS","State","County","Median.Household.Income","Covid_Deaths_2020","Covid_Death_Rate_22","Life_Exp_22","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",67565,55,82,76.6,6,9,"4",11,5,8027,11549,7333,20,10
1003,"Alabama","Baldwin",71135,165,50,77.7,2,3,"5",4,3,8118,11603,8059,17,8
1005,"Alabama","Barbour",38866,38,110,72.9,56,60,"52",36,60,12877,15534,9950,31,12
1007,"Alabama","Bibb",50907,40,147,73.6,31,50,"31",44,50,11191,11737,11369,25,10
1013,"Alabama","Butler",42268,52,171,73.5,52,57,"51",51,57,12717,14141,12183,27,13
1015,"Alabama","Calhoun",50259,175,119,72.8,29,22,"40",25,28,11826,12233,12018,24,9
1017,"Alabama","Chambers",39318,73,147,73.8,39,37,"29",29,39,11059,10544,11004,25,13
1021,"Alabama","Chilton",52693,76,138,74.4,22,38,"16",47,27,10342,11094,10603,25,9
1023,"Alabama","Choctaw",41649,31,134,74.2,49,35,"44",13,29,12129,15799,9599,27,12
1025,"Alabama","Clarke",44178,43,127,71.7,60,59,"57",45,55,14428,16735,12930,28,13
1031,"Alabama","Coffee",54203,70,103,75.3,8,12,"10",34,8,9298,13258,9291,22,9
1033,"Alabama","Colbert",54185,83,102,73.9,24,15,"30",20,16,11072,13995,10732,22,11
1035,"Alabama","Conecuh",34664,27,130,71.2,63,54,"63",62,54,15565,19263,12273,28,14
1037,"Alabama","Coosa",46509,19,123,73.9,53,32,"55",15,46,13477,17958,10693,25,15
1039,"Alabama","Covington",43544,90,151,72.9,40,33,"43",58,20,12059,18134,11429,24,11
1041,"Alabama","Crenshaw",45927,29,147,72.6,43,49,"42",57,49,12025,12014,12633,25,11
1045,"Alabama","Dale",48493,86,136,74.9,12,18,"17",31,19,10385,10896,10838,23,8
1047,"Alabama","Dallas",37679,100,202,71.1,62,62,"61",26,63,15053,16585,11215,29,14
1051,"Alabama","Elmore",62524,93,95,75.3,7,10,"9",12,7,9205,11995,8721,21,9
1053,"Alabama","Escambia",41212,58,117,72.2,50,56,"53",61,53,13084,15275,12292,28,10
1055,"Alabama","Etowah",47872,222,159,72.5,33,25,"45",39,38,12211,14965,12075,23,9
1057,"Alabama","Fayette",45937,41,166,73.1,46,23,"47",9,34,12489,20741,11642,25,10
1061,"Alabama","Geneva",39882,54,133,72.6,41,45,"50",53,42,12682,15699,12996,25,8
1065,"Alabama","Hale",41836,37,194,72.5,55,63,"54",56,59,13407,16213,9211,29,12
1067,"Alabama","Henry",51126,24,90,75.5,20,19,"14",19,25,10034,13002,9309,23,11
1069,"Alabama","Houston",54391,171,121,75.6,14,14,"11",8,14,9505,13213,8260,23,11
1073,"Alabama","Jefferson",57802,748,93,74.1,19,5,"36",2,15,11420,14310,9275,19,11
1077,"Alabama","Lauderdale",52293,130,92,75.9,9,6,"7",7,9,9012,14185,8532,21,10
1079,"Alabama","Lawrence",48924,59,129,72.9,44,43,"49",63,24,12574,18794,12900,25,9
1081,"Alabama","Lee",58963,130,86,77.7,3,4,"2",10,6,7312,11344,6180,20,9
1083,"Alabama","Limestone",70850,91,78,77.1,5,7,"3",16,4,7852,8058,8182,21,9
1089,"Alabama","Madison",67810,217,48,77.4,4,2,"6",3,2,8360,10288,8132,18,10
1091,"Alabama","Marengo",43198,35,130,71,57,47,"62",21,48,15174,16808,11947,27,12
1097,"Alabama","Mobile",50871,473,93,74.4,27,26,"28",35,45,10974,13877,9592,23,12
1099,"Alabama","Monroe",38812,30,97,73.3,54,55,"56",42,58,13664,19917,8403,28,12
1101,"Alabama","Montgomery",49607,337,129,75.2,23,17,"19",6,35,10524,12643,7534,23,13
1103,"Alabama","Morgan",55688,169,108,74.2,13,11,"25",18,13,10860,15044,10639,22,9
1107,"Alabama","Pickens",41870,37,126,73.9,42,48,"22",40,51,10619,12953,8978,28,13
1109,"Alabama","Pike",43141,45,112,73.9,32,20,"39",46,26,11574,15340,9037,24,11
1111,"Alabama","Randolph",46679,54,153,73.9,26,44,"38",48,37,11568,14065,11386,24,9
1113,"Alabama","Russell",40821,70,109,73.4,34,27,"37",33,43,11475,11166,12994,25,11
1115,"Alabama","St. Clair",61973,136,120,74.7,11,13,"12",17,10,9846,10032,10051,21,9
1117,"Alabama","Shelby",88444,148,57,80.3,1,1,"1",1,1,6125,7565,6141,16,8
1121,"Alabama","Talladega",44802,130,121,72.9,48,42,"46",38,47,12311,12936,12325,26,11
1123,"Alabama","Tallapoosa",46654,79,119,73.9,47,39,"35",14,52,11408,14588,10383,24,14
1125,"Alabama","Tuscaloosa",56610,252,117,75.8,10,8,"8",5,11,9050,12238,7431,21,11
1127,"Alabama","Walker",46519,165,184,69.6,58,36,"64",41,36,15734,15500,16074,24,11
1129,"Alabama","Washington",36346,24,111,75.3,37,51,"15",64,44,10228,8986,9574,26,12
2020,"Alaska","Anchorage",84577,117,45,78.7,9,4,"8",5,7,8016,10587,6315,15,6
2090,"Alaska","Fairbanks North Star",76650,19,31,80.2,6,3,"5",3,4,6865,6161,5939,16,6
4003,"Arizona","Cochise",51171,171,83,78.2,8,6,"5",6,4,7810,5006,8234,22,8
4013,"Arizona","Maricopa",71799,4403,82,79.6,1,3,"2",2,3,7005,10719,6551,18,7
4015,"Arizona","Mohave",46678,326,70,75.5,10,11,"11",9,10,10550,11545,10995,21,7
4019,"Arizona","Pima",56551,1182,77,78.5,6,2,"7",1,8,8321,11540,8274,20,8
4021,"Arizona","Pinal",66992,389,59,81.8,2,8,"3",8,6,7261,9184,6682,20,7
4027,"Arizona","Yuma",54278,544,190,80.5,4,12,"6",12,14,7986,10919,9456,27,6
5001,"Arkansas","Arkansas",51186,22,86,72.9,54,27,"55",34,14,11870,17118,9886,26,10
5003,"Arkansas","Ashley",44677,21,68,73.8,57,58,"49",61,62,11534,15489,10866,27,11
5007,"Arkansas","Benton",78678,282,94,79.5,1,1,"1",5,1,6156,7612,6782,20,7
5011,"Arkansas","Bradley",41578,27,175,72.2,66,50,"70",63,51,14029,17955,11577,28,11
5017,"Arkansas","Chicot",35992,25,153,72.2,70,74,"68",56,75,13801,16370,11506,32,13
5019,"Arkansas","Clark",46464,18,69,75.3,10,13,"9",7,13,8860,10822,8309,23,9
5027,"Arkansas","Columbia",44925,30,95,73.9,56,51,"40",15,40,11042,16625,8152,27,11
5031,"Arkansas","Craighead",51797,99,84,76.1,11,11,"10",2,10,9015,13169,8526,23,10
5035,"Arkansas","Crittenden",47545,68,125,72.2,69,66,"66",22,69,13358,15625,10706,28,14
5037,"Arkansas","Cross",40587,29,126,72.1,59,56,"64",62,57,12963,13308,13106,25,10
5039,"Arkansas","Dallas",34649,14,101,73.8,60,38,"59",33,36,12408,13880,12410,27,12
5041,"Arkansas","Desha",37421,13,86,72.2,72,69,"65",68,67,13137,12679,15489,32,15
5043,"Arkansas","Drew",46787,23,97,74,42,32,"48",58,39,11482,16050,10516,24,10
5045,"Arkansas","Faulkner",57367,70,57,76.3,4,4,"5",11,3,8425,11336,8162,21,8
5051,"Arkansas","Garland",46459,137,81,74.3,35,16,"53",6,48,11824,16481,11852,23,9
5057,"Arkansas","Hempstead",42790,20,66,75.6,34,46,"27",51,30,10016,9239,12165,28,10
5059,"Arkansas","Hot Spring",49582,51,100,74,31,22,"35",24,23,10833,12450,10640,24,9
5061,"Arkansas","Howard",40566,18,100,73.5,41,40,"41",60,18,11060,16884,11291,27,9
5067,"Arkansas","Jackson",40789,22,101,72.5,65,67,"58",52,64,12163,11730,12951,29,10
5069,"Arkansas","Jefferson",40588,132,156,72.4,68,59,"67",13,65,13724,14855,12796,27,13
5077,"Arkansas","Lee",32502,17,129,71.6,71,73,"72",40,73,14584,15555,13676,31,13
5079,"Arkansas","Lincoln",47903,27,167,73.9,36,61,"37",71,58,10917,9160,11527,28,9
5085,"Arkansas","Lonoke",59623,75,95,75.2,5,9,"18",17,5,9192,13434,9342,21,8
5091,"Arkansas","Miller",43634,61,113,73.6,48,43,"51",14,50,11644,15684,10446,25,10
5093,"Arkansas","Mississippi",47892,82,184,69.7,73,72,"73",45,70,16101,20513,13806,29,11
5095,"Arkansas","Monroe",35833,11,101,69.7,74,71,"74",39,71,17644,21576,14838,30,11
5103,"Arkansas","Ouachita",46374,38,114,72.7,62,42,"60",9,41,12522,15091,11281,28,10
5107,"Arkansas","Phillips",35167,38,172,69.5,75,75,"74",50,74,17709,20101,12993,33,13
5111,"Arkansas","Poinsett",36150,49,154,70.6,67,63,"71",66,55,14333,16383,14652,27,10
5119,"Arkansas","Pulaski",56171,342,73,75.6,22,8,"31",1,33,10346,13511,8838,22,11
5123,"Arkansas","St. Francis",37759,32,107,74.3,63,70,"47",26,72,11447,13432,10178,31,13
5125,"Arkansas","Saline",70550,98,61,77.3,3,2,"3",20,2,8128,8886,8432,19,8
5131,"Arkansas","Sebastian",48627,111,72,75.6,21,12,"24",3,32,9845,12207,11106,25,8
5139,"Arkansas","Union",47857,70,134,71.7,61,34,"69",19,53,13874,18330,11682,24,11
5143,"Arkansas","Washington",57712,217,95,78,2,3,"2",8,4,6924,10733,7043,22,8
5145,"Arkansas","White",43765,55,57,75.2,20,21,"22",31,27,9608,10750,9940,24,8
6001,"California","Alameda",113518,635,33,82.8,10,6,"8",8,12,4651,11112,4356,16,7
6007,"California","Butte",54718,132,46,77.6,29,32,"42",39,29,7851,10674,8176,19,6
6013,"California","Contra Costa",106484,422,29,82.2,14,9,"13",13,10,4995,10658,4881,16,7
6019,"California","Fresno",61401,937,96,78,45,51,"36",36,51,7511,14126,7712,26,8
6025,"California","Imperial",47599,529,278,79,33,58,"31",53,58,7111,6454,10926,29,6
6029,"California","Kern",58583,678,85,76.5,53,57,"49",51,57,8735,15364,10070,27,7
6031,"California","Kings",60319,113,87,79.2,32,54,"26",52,47,6863,7803,7645,26,6
6033,"California","Lake",52345,39,39,74.8,56,48,"57",48,46,11559,21581,11800,22,7
6037,"California","Los Angeles",75624,11176,98,81.3,24,35,"21",46,45,5558,10982,5220,22,7
6039,"California","Madera",68744,170,103,79.1,37,49,"32",49,49,7197,7855,8109,26,6
6041,"California","Marin",127601,114,25,85.2,1,1,"3",1,1,3555,7411,3393,12,6
6047,"California","Merced",58998,260,103,78.2,38,56,"34",56,55,7372,18086,8839,27,6
6053,"California","Monterey",85031,256,54,82.2,21,38,"18",42,42,5292,6610,5876,24,6
6059,"California","Orange",98786,2459,63,82.8,6,10,"5",15,11,4401,6280,4880,17,6
6061,"California","Placer",100662,157,25,82.3,4,4,"6",2,2,4579,5585,4910,14,6
6065,"California","Riverside",76409,2657,93,80,25,33,"22",45,33,6381,9754,7139,22,7
6067,"California","Sacramento",72953,948,55,79.2,26,23,"24",20,27,6667,11638,6720,18,7
6071,"California","San Bernardino",65984,2747,132,77.6,43,45,"39",55,40,7724,12398,8961,24,8
6073,"California","San Diego",87126,1748,46,81.8,15,16,"12",23,16,4926,8457,5050,17,7
6075,"California","San Francisco",121722,222,19,83.7,7,5,"11",4,8,4811,14935,4122,14,7
6077,"California","San Joaquin",70685,793,100,77.7,42,44,"40",33,48,7768,14471,8371,23,7
6079,"California","San Luis Obispo",79455,116,27,81.8,13,7,"16",5,6,5260,3388,5623,16,6
6081,"California","San Mateo",132369,248,24,84.9,2,2,"2",3,3,3504,8053,3570,14,7
6083,"California","Santa Barbara",86136,177,32,81.7,19,18,"20",17,18,5334,7493,5647,20,7
6085,"California","Santa Clara",139462,852,39,84.7,3,3,"4",7,4,3683,7248,4033,14,7
6089,"California","Shasta",59108,102,39,75.8,46,27,"52",21,30,9500,12474,9818,18,6
6095,"California","Solano",83678,171,32,80,22,19,"23",19,21,6402,10131,6940,18,7
6097,"California","Sonoma",87366,196,27,82,8,11,"15",12,9,5097,8330,5464,16,6
6099,"California","Stanislaus",64501,634,112,77.3,36,42,"41",37,43,7821,12865,9006,24,6
6107,"California","Tulare",62058,451,106,77.8,47,55,"33",40,56,7364,13279,8767,28,7
6111,"California","Ventura",90961,376,35,82.3,9,17,"9",26,14,4737,6146,4970,18,6
6113,"California","Yolo",80668,110,49,81.4,12,13,"10",9,15,4742,8368,5062,19,6
6115,"California","Yuba",56278,29,41,76.3,49,40,"50",47,38,9163,8744,10717,21,7
8001,"Colorado","Adams",73615,447,105,78.6,27,46,"25",40,49,6706,10045,6766,18,9
8005,"Colorado","Arapahoe",82381,492,75,80.6,14,20,"18",10,26,5840,8228,5421,14,10
8031,"Colorado","Denver",75355,647,96,78.9,23,34,"27",8,50,6996,12628,5330,16,9
8041,"Colorado","El Paso",72459,530,75,78.1,33,24,"41",17,28,8046,11391,7769,15,10
8059,"Colorado","Jefferson",90097,473,67,80.3,12,11,"16",7,15,5769,11118,5410,12,9
8101,"Colorado","Pueblo",50885,262,109,75.1,52,54,"54",22,55,10996,14657,10321,20,10
8123,"Colorado","Weld",77937,272,89,80.3,18,32,"20",25,32,5952,7254,5702,16,8
9001,"Connecticut","Fairfield",98828,1629,125,82.1,1,4,"1",5,4,4781,7939,4355,13,7
9003,"Connecticut","Hartford",73476,1731,135,79.4,6,5,"4",1,5,6484,8603,6232,15,9
9005,"Connecticut","Litchfield",79512,249,82,79.2,4,3,"7",4,3,7164,9169,7504,13,6
9007,"Connecticut","Middlesex",89970,214,76,80.8,2,2,"3",2,2,5588,8182,5881,12,7
9009,"Connecticut","New Haven",72517,1488,121,79.2,7,7,"5",7,8,6794,10112,6384,16,8
9011,"Connecticut","New London",77202,274,70,79.5,5,6,"6",6,6,6842,8280,7235,14,7
9013,"Connecticut","Tolland",87247,113,59,81.3,3,1,"2",3,1,5422,4844,5905,13,7
10001,"Delaware","Kent",61538,191,83,77.1,3,3,"3",3,3,8555,10778,8220,20,9
10003,"Delaware","New Castle",75145,499,71,77.9,1,1,"1",1,1,8092,11031,7799,17,9
10005,"Delaware","Sussex",69829,318,76,78.4,2,2,"2",2,2,8196,10514,8331,19,8
11001,"District of Columbia","District of Columbia",91957,831,117,78,1,1,"1",1,1,8357,14992,2302,15,10
12001,"Florida","Alachua",51995,133,45,78.6,27,3,"13",1,8,7325,11562,6783,19,10
12003,"Florida","Baker",61514,36,114,75.5,47,36,"42",41,13,9554,10913,9527,23,10
12005,"Florida","Bay",61332,179,76,76.1,38,29,"47",24,15,10042,11907,10283,20,8
12007,"Florida","Bradford",48260,20,53,75.5,56,59,"48",54,55,10079,9694,10631,26,11
12009,"Florida","Brevard",65871,478,43,77.4,28,9,"41",16,14,9275,12031,9557,19,8
12011,"Florida","Broward",63901,1736,66,80.9,10,30,"6",36,37,6463,8099,7772,22,10
12015,"Florida","Charlotte",58368,245,44,80.8,24,17,"20",10,16,7970,6398,8817,20,9
12017,"Florida","Citrus",48574,204,52,74.5,57,39,"65",27,57,12774,13967,13298,22,8
12019,"Florida","Clay",72520,148,58,77.5,18,10,"21",18,3,7992,7988,8634,19,8
12021,"Florida","Collier",81895,318,35,86.1,2,12,"3",6,20,5479,7351,6218,19,7
12023,"Florida","Columbia",46670,96,94,75,55,43,"53",37,36,10821,11983,11035,23,11
12027,"Florida","DeSoto",45807,55,89,80,41,48,"30",65,49,8506,9502,10899,31,8
12031,"Florida","Duval",55202,709,68,75.5,45,32,"50",19,33,10230,12941,10147,21,10
12033,"Florida","Escambia",57089,327,81,74.5,50,22,"52",20,26,10736,13950,10477,21,11
12035,"Florida","Flagler",67054,53,21,79.1,22,27,"23",22,21,8150,11980,8230,19,8
12039,"Florida","Gadsden",42698,54,87,75.5,64,63,"56",48,60,10980,12848,9109,27,13
12047,"Florida","Hamilton",41871,19,95,75.4,62,66,"46",50,66,9955,12067,9670,31,11
12051,"Florida","Hendry",45652,51,109,77.7,44,65,"35",66,67,8755,16833,10287,34,8
12053,"Florida","Hernando",52108,203,50,76.7,33,34,"40",34,39,9194,9762,10137,22,9
12055,"Florida","Highlands",48922,185,72,77.8,49,40,"54",45,52,10873,13062,11709,26,9
12057,"Florida","Hillsborough",65272,945,57,79.1,11,19,"9",28,17,6879,9949,6961,21,9
