"FIPS","State","County","Covid_Deaths_2020","Covid_Death_Rate_22","Life_Exp_22"
1001,"Alabama","Autauga",55,82,76.6
1003,"Alabama","Baldwin",165,50,77.7
1005,"Alabama","Barbour",38,110,72.9
1007,"Alabama","Bibb",40,147,73.6
1009,"Alabama","Blount",92,117,74.2
1011,"Alabama","Bullock",20,160,73.8
1013,"Alabama","Butler",52,171,73.5
1015,"Alabama","Calhoun",175,119,72.8
1017,"Alabama","Chambers",73,147,73.8
1019,"Alabama","Cherokee",34,77,74
1021,"Alabama","Chilton",76,138,74.4
1023,"Alabama","Choctaw",31,134,74.2
1025,"Alabama","Clarke",43,127,71.7
1027,"Alabama","Clay",40,203,72.9
1029,"Alabama","Cleburne",25,107,74.3
1031,"Alabama","Coffee",70,103,75.3
1033,"Alabama","Colbert",83,102,73.9
1035,"Alabama","Conecuh",27,130,71.2
1037,"Alabama","Coosa",19,123,73.9
1039,"Alabama","Covington",90,151,72.9
1041,"Alabama","Crenshaw",29,147,72.6
1043,"Alabama","Cullman",121,104,73.9
1045,"Alabama","Dale",86,136,74.9
1047,"Alabama","Dallas",100,202,71.1
1049,"Alabama","DeKalb",123,137,73.8
1051,"Alabama","Elmore",93,95,75.3
1053,"Alabama","Escambia",58,117,72.2
1055,"Alabama","Etowah",222,159,72.5
1057,"Alabama","Fayette",41,166,73.1
1059,"Alabama","Franklin",49,120,73.7
1061,"Alabama","Geneva",54,133,72.6
1063,"Alabama","Greene",21,151,72.9
1065,"Alabama","Hale",37,194,72.5
1067,"Alabama","Henry",24,90,75.5
1069,"Alabama","Houston",171,121,75.6
1071,"Alabama","Jackson",69,90,73.3
1073,"Alabama","Jefferson",748,93,74.1
1075,"Alabama","Lamar",45,194,75.3
1077,"Alabama","Lauderdale",130,92,75.9
1079,"Alabama","Lawrence",59,129,72.9
1081,"Alabama","Lee",130,86,77.7
1083,"Alabama","Limestone",91,78,77.1
1085,"Alabama","Lowndes",39,292,70.3
1087,"Alabama","Macon",38,145,71.3
1089,"Alabama","Madison",217,48,77.4
1091,"Alabama","Marengo",35,130,71
1093,"Alabama","Marion",61,125,73.1
1095,"Alabama","Marshall",147,120,73.9
1097,"Alabama","Mobile",473,93,74.4
1099,"Alabama","Monroe",30,97,73.3
1101,"Alabama","Montgomery",337,129,75.2
1103,"Alabama","Morgan",169,108,74.2
1105,"Alabama","Perry",23,177,70.8
1107,"Alabama","Pickens",37,126,73.9
1109,"Alabama","Pike",45,112,73.9
1111,"Alabama","Randolph",54,153,73.9
1113,"Alabama","Russell",70,109,73.4
1115,"Alabama","St. Clair",136,120,74.7
1117,"Alabama","Shelby",148,57,80.3
1119,"Alabama","Sumter",27,164,71.9
1121,"Alabama","Talladega",130,121,72.9
1123,"Alabama","Tallapoosa",79,119,73.9
1125,"Alabama","Tuscaloosa",252,117,75.8
1127,"Alabama","Walker",165,184,69.6
1129,"Alabama","Washington",24,111,75.3
1131,"Alabama","Wilcox",22,154,69.8
1133,"Alabama","Winston",37,94,74.8
2013,"Alaska","Aleutians East",NA,NA,112.5
2016,"Alaska","Aleutians West",NA,NA,91.5
2020,"Alaska","Anchorage",117,45,78.7
2050,"Alaska","Bethel",15,196,70.7
2060,"Alaska","Bristol Bay",NA,NA,NA
2068,"Alaska","Denali",NA,NA,89.1
2070,"Alaska","Dillingham",NA,NA,70.2
2090,"Alaska","Fairbanks North Star",19,31,80.2
2100,"Alaska","Haines",NA,NA,84.4
2105,"Alaska","Hoonah-Angoon",NA,NA,84.3
2110,"Alaska","Juneau",NA,NA,81.1
2122,"Alaska","Kenai Peninsula",18,29,79.2
2130,"Alaska","Ketchikan Gateway",NA,NA,80.2
2150,"Alaska","Kodiak Island",NA,NA,80.5
2158,"Alaska","Kusilvak",NA,NA,67.7
2164,"Alaska","Lake and Peninsula",NA,NA,NA
2170,"Alaska","Matanuska-Susitna",33,37,79
2180,"Alaska","Nome",NA,NA,70.3
2185,"Alaska","North Slope",NA,NA,76.2
2188,"Alaska","Northwest Arctic",NA,NA,71.3
2195,"Alaska","Petersburg",NA,NA,80.6
2198,"Alaska","Prince of Wales-Hyder",NA,NA,76.4
2220,"Alaska","Sitka",NA,NA,80.9
2230,"Alaska","Skagway",NA,NA,NA
2240,"Alaska","Southeast Fairbanks",NA,NA,77.2
2261,"Alaska","Valdez-Cordova",NA,NA,78
2275,"Alaska","Wrangell",NA,NA,79.2
2282,"Alaska","Yakutat",NA,NA,NA
2290,"Alaska","Yukon-Koyukuk",NA,NA,72.5
4001,"Arizona","Apache",300,368,70.1
4003,"Arizona","Cochise",171,83,78.2
4005,"Arizona","Coconino",207,148,78
4007,"Arizona","Gila",118,129,72.7
4009,"Arizona","Graham",50,124,77
4011,"Arizona","Greenlee",NA,NA,79.9
4012,"Arizona","La Paz",32,52,77.7
4013,"Arizona","Maricopa",4403,82,79.6
4015,"Arizona","Mohave",326,70,75.5
4017,"Arizona","Navajo",365,267,71.4
4019,"Arizona","Pima",1182,77,78.5
4021,"Arizona","Pinal",389,59,81.8
4023,"Arizona","Santa Cruz",103,160,81.2
4025,"Arizona","Yavapai",252,49,78.4
4027,"Arizona","Yuma",544,190,80.5
5001,"Arkansas","Arkansas",22,86,72.9
5003,"Arkansas","Ashley",21,68,73.8
5005,"Arkansas","Baxter",75,82,76.1
5007,"Arkansas","Benton",282,94,79.5
5009,"Arkansas","Boone",63,101,76.1
5011,"Arkansas","Bradley",27,175,72.2
5013,"Arkansas","Calhoun",NA,NA,72.9
5015,"Arkansas","Carroll",38,81,76.1
5017,"Arkansas","Chicot",25,153,72.2
5019,"Arkansas","Clark",18,69,75.3
5021,"Arkansas","Clay",27,114,73
5023,"Arkansas","Cleburne",38,72,75.2
5025,"Arkansas","Cleveland",20,160,75.1
5027,"Arkansas","Columbia",30,95,73.9
5029,"Arkansas","Conway",11,34,75.3
5031,"Arkansas","Craighead",99,84,76.1
5033,"Arkansas","Crawford",56,69,76.4
5035,"Arkansas","Crittenden",68,125,72.2
5037,"Arkansas","Cross",29,126,72.1
5039,"Arkansas","Dallas",14,101,73.8
5041,"Arkansas","Desha",13,86,72.2
5043,"Arkansas","Drew",23,97,74
5045,"Arkansas","Faulkner",70,57,76.3
5047,"Arkansas","Franklin",22,83,74
