"FIPS","State","County","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",8027,11549,7333,20,10
1003,"Alabama","Baldwin",8118,11603,8059,17,8
1005,"Alabama","Barbour",12877,15534,9950,31,12
1007,"Alabama","Bibb",11191,11737,11369,25,10
1009,"Alabama","Blount",10787,NA,NA,23,8
1011,"Alabama","Bullock",11406,NA,NA,31,15
1013,"Alabama","Butler",12717,14141,12183,27,13
1015,"Alabama","Calhoun",11826,12233,12018,24,9
1017,"Alabama","Chambers",11059,10544,11004,25,13
1019,"Alabama","Cherokee",11396,NA,NA,24,8
1021,"Alabama","Chilton",10342,11094,10603,25,9
1023,"Alabama","Choctaw",12129,15799,9599,27,12
1025,"Alabama","Clarke",14428,16735,12930,28,13
1027,"Alabama","Clay",12554,NA,NA,27,8
1029,"Alabama","Cleburne",10530,NA,NA,23,8
1031,"Alabama","Coffee",9298,13258,9291,22,9
1033,"Alabama","Colbert",11072,13995,10732,22,11
1035,"Alabama","Conecuh",15565,19263,12273,28,14
1037,"Alabama","Coosa",13477,17958,10693,25,15
1039,"Alabama","Covington",12059,18134,11429,24,11
1041,"Alabama","Crenshaw",12025,12014,12633,25,11
1043,"Alabama","Cullman",10571,NA,NA,22,9
1045,"Alabama","Dale",10385,10896,10838,23,8
1047,"Alabama","Dallas",15053,16585,11215,29,14
1049,"Alabama","DeKalb",10883,NA,12228,27,8
1051,"Alabama","Elmore",9205,11995,8721,21,9
1053,"Alabama","Escambia",13084,15275,12292,28,10
1055,"Alabama","Etowah",12211,14965,12075,23,9
1057,"Alabama","Fayette",12489,20741,11642,25,10
1059,"Alabama","Franklin",10961,NA,NA,26,10
1061,"Alabama","Geneva",12682,15699,12996,25,8
1063,"Alabama","Greene",14803,NA,NA,36,16
1065,"Alabama","Hale",13407,16213,9211,29,12
1067,"Alabama","Henry",10034,13002,9309,23,11
1069,"Alabama","Houston",9505,13213,8260,23,11
1071,"Alabama","Jackson",11395,NA,NA,24,9
1073,"Alabama","Jefferson",11420,14310,9275,19,11
1075,"Alabama","Lamar",9968,NA,NA,25,9
1077,"Alabama","Lauderdale",9012,14185,8532,21,10
1079,"Alabama","Lawrence",12574,18794,12900,25,9
1081,"Alabama","Lee",7312,11344,6180,20,9
1083,"Alabama","Limestone",7852,8058,8182,21,9
1085,"Alabama","Lowndes",16606,NA,NA,32,15
1087,"Alabama","Macon",14740,NA,NA,28,13
1089,"Alabama","Madison",8360,10288,8132,18,10
1091,"Alabama","Marengo",15174,16808,11947,27,12
1093,"Alabama","Marion",11967,NA,NA,24,9
1095,"Alabama","Marshall",10517,NA,10953,25,8
1097,"Alabama","Mobile",10974,13877,9592,23,12
1099,"Alabama","Monroe",13664,19917,8403,28,12
1101,"Alabama","Montgomery",10524,12643,7534,23,13
1103,"Alabama","Morgan",10860,15044,10639,22,9
1105,"Alabama","Perry",16199,NA,NA,32,14
1107,"Alabama","Pickens",10619,12953,8978,28,13
1109,"Alabama","Pike",11574,15340,9037,24,11
1111,"Alabama","Randolph",11568,14065,11386,24,9
1113,"Alabama","Russell",11475,11166,12994,25,11
1115,"Alabama","St. Clair",9846,10032,10051,21,9
1117,"Alabama","Shelby",6125,7565,6141,16,8
1119,"Alabama","Sumter",14936,NA,NA,29,14
1121,"Alabama","Talladega",12311,12936,12325,26,11
1123,"Alabama","Tallapoosa",11408,14588,10383,24,14
1125,"Alabama","Tuscaloosa",9050,12238,7431,21,11
1127,"Alabama","Walker",15734,15500,16074,24,11
1129,"Alabama","Washington",10228,8986,9574,26,12
1131,"Alabama","Wilcox",17714,NA,NA,33,14
1133,"Alabama","Winston",10680,NA,NA,26,10
2020,"Alaska","Anchorage",8016,10587,6315,15,6
2050,"Alaska","Bethel",16259,NA,NA,34,7
2070,"Alaska","Dillingham",17438,NA,NA,28,6
2090,"Alaska","Fairbanks North Star",6865,6161,5939,16,6
2110,"Alaska","Juneau",6633,NA,6064,15,5
2122,"Alaska","Kenai Peninsula",7920,NA,8018,18,5
2130,"Alaska","Ketchikan Gateway",6148,NA,4373,18,7
2150,"Alaska","Kodiak Island",6130,NA,5470,16,5
2158,"Alaska","Kusilvak",20939,NA,NA,42,7
2170,"Alaska","Matanuska-Susitna",7120,NA,6533,17,6
2180,"Alaska","Nome",16615,NA,NA,28,6
