"FIPS","State","County","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank"
1001,"Alabama","Autauga","4","11","5"
1003,"Alabama","Baldwin","5","4","3"
1005,"Alabama","Barbour","52","36","60"
1007,"Alabama","Bibb","31","44","50"
1009,"Alabama","Blount","24","54","18"
1011,"Alabama","Bullock","34","32","62"
1013,"Alabama","Butler","51","51","57"
1015,"Alabama","Calhoun","40","25","28"
1017,"Alabama","Chambers","29","29","39"
1019,"Alabama","Cherokee","33","43","22"
1021,"Alabama","Chilton","16","47","27"
1023,"Alabama","Choctaw","44","13","29"
1025,"Alabama","Clarke","57","45","55"
1027,"Alabama","Clay","48","50","40"
1029,"Alabama","Cleburne","20","60","21"
1031,"Alabama","Coffee","10","34","8"
1033,"Alabama","Colbert","30","20","16"
1035,"Alabama","Conecuh","63","62","54"
1037,"Alabama","Coosa","55","15","46"
1039,"Alabama","Covington","43","58","20"
1041,"Alabama","Crenshaw","42","57","49"
1043,"Alabama","Cullman","21","22","12"
1045,"Alabama","Dale","17","31","19"
1047,"Alabama","Dallas","61","26","63"
1049,"Alabama","DeKalb","26","65","31"
1051,"Alabama","Elmore","9","12","7"
1053,"Alabama","Escambia","53","61","53"
1055,"Alabama","Etowah","45","39","38"
1057,"Alabama","Fayette","47","9","34"
1059,"Alabama","Franklin","27","66","41"
1061,"Alabama","Geneva","50","53","42"
1063,"Alabama","Greene","59","55","64"
1065,"Alabama","Hale","54","56","59"
1067,"Alabama","Henry","14","19","25"
1069,"Alabama","Houston","11","8","14"
1071,"Alabama","Jackson","32","27","30"
1073,"Alabama","Jefferson","36","2","15"
1075,"Alabama","Lamar","13","24","33"
1077,"Alabama","Lauderdale","7","7","9"
1079,"Alabama","Lawrence","49","63","24"
1081,"Alabama","Lee","2","10","6"
1083,"Alabama","Limestone","3","16","4"
1085,"Alabama","Lowndes","66","23","67"
1087,"Alabama","Macon","58","28","61"
1089,"Alabama","Madison","6","3","2"
1091,"Alabama","Marengo","62","21","48"
1093,"Alabama","Marion","41","59","23"
1095,"Alabama","Marshall","18","30","17"
1097,"Alabama","Mobile","28","35","45"
1099,"Alabama","Monroe","56","42","58"
1101,"Alabama","Montgomery","19","6","35"
1103,"Alabama","Morgan","25","18","13"
1105,"Alabama","Perry","65","49","65"
1107,"Alabama","Pickens","22","40","51"
1109,"Alabama","Pike","39","46","26"
1111,"Alabama","Randolph","38","48","37"
1113,"Alabama","Russell","37","33","43"
1115,"Alabama","St. Clair","12","17","10"
1117,"Alabama","Shelby","1","1","1"
1119,"Alabama","Sumter","60","37","56"
1121,"Alabama","Talladega","46","38","47"
1123,"Alabama","Tallapoosa","35","14","52"
1125,"Alabama","Tuscaloosa","8","5","11"
1127,"Alabama","Walker","64","41","36"
1129,"Alabama","Washington","15","64","44"
1131,"Alabama","Wilcox","67","52","66"
1133,"Alabama","Winston","23","67","32"
2013,"Alaska","Aleutians East","NR","NR","NR"
2016,"Alaska","Aleutians West","12","18","2"
2020,"Alaska","Anchorage","8","5","7"
2050,"Alaska","Bethel","21","20","23"
2060,"Alaska","Bristol Bay","NR","NR","NR"
2068,"Alaska","Denali","NR","NR","NR"
2070,"Alaska","Dillingham","23","8","18"
2090,"Alaska","Fairbanks North Star","5","3","4"
2100,"Alaska","Haines","12","2","16"
2105,"Alaska","Hoonah-Angoon","12","19","19"
2110,"Alaska","Juneau","4","1","3"
2122,"Alaska","Kenai Peninsula","7","9","11"
2130,"Alaska","Ketchikan Gateway","2","6","9"
2150,"Alaska","Kodiak Island","1","13","5"
2158,"Alaska","Kusilvak","24","24","24"
2164,"Alaska","Lake and Peninsula","12","22","17"
2170,"Alaska","Matanuska-Susitna","6","7","8"
2180,"Alaska","Nome","22","23","20"
2185,"Alaska","North Slope","11","12","14"
2188,"Alaska","Northwest Arctic","20","15","21"
2195,"Alaska","Petersburg","12","10","10"
2198,"Alaska","Prince of Wales-Hyder","18","16","15"
2220,"Alaska","Sitka","3","4","1"
2230,"Alaska","Skagway","NR","NR","NR"
2240,"Alaska","Southeast Fairbanks","9","17","12"
2261,"Alaska","Valdez-Cordova","10","11","6"
2275,"Alaska","Wrangell","12","14","13"
2282,"Alaska","Yakutat","NR","NR","NR"
2290,"Alaska","Yukon-Koyukuk","19","21","22"
4001,"Arizona","Apache","15","14","15"
4003,"Arizona","Cochise","5","6","4"
4005,"Arizona","Coconino","10","4","5"
4007,"Arizona","Gila","12","11","9"
4009,"Arizona","Graham","9","5","7"
4011,"Arizona","Greenlee","4","7","1"
4012,"Arizona","La Paz","13","15","13"
4013,"Arizona","Maricopa","2","2","3"
4015,"Arizona","Mohave","11","9","10"
4017,"Arizona","Navajo","14","13","12"
4019,"Arizona","Pima","7","1","8"
4021,"Arizona","Pinal","3","8","6"
4023,"Arizona","Santa Cruz","1","10","11"
4025,"Arizona","Yavapai","8","3","2"
4027,"Arizona","Yuma","6","12","14"
5001,"Arkansas","Arkansas","55","34","14"
5003,"Arkansas","Ashley","49","61","62"
5005,"Arkansas","Baxter","25","4","11"
5007,"Arkansas","Benton","1","5","1"
5009,"Arkansas","Boone","17","10","8"
5011,"Arkansas","Bradley","70","63","51"
5013,"Arkansas","Calhoun","61","38","31"
5015,"Arkansas","Carroll","32","49","26"
5017,"Arkansas","Chicot","68","56","75"
5019,"Arkansas","Clark","9","7","13"
5021,"Arkansas","Clay","52","41","38"
5023,"Arkansas","Cleburne","45","18","47"
5025,"Arkansas","Cleveland","23","37","19"
5027,"Arkansas","Columbia","40","15","40"
5029,"Arkansas","Conway","26","23","22"
5031,"Arkansas","Craighead","10","2","10"
5033,"Arkansas","Crawford","6","29","16"
5035,"Arkansas","Crittenden","66","22","69"
5037,"Arkansas","Cross","64","62","57"
5039,"Arkansas","Dallas","59","33","36"
5041,"Arkansas","Desha","65","68","67"
5043,"Arkansas","Drew","48","58","39"
5045,"Arkansas","Faulkner","5","11","3"
5047,"Arkansas","Franklin","50","42","17"
5049,"Arkansas","Fulton","30","64","24"
5051,"Arkansas","Garland","53","6","48"
5053,"Arkansas","Grant","8","12","6"
5055,"Arkansas","Greene","16","27","21"
5057,"Arkansas","Hempstead","27","51","30"
5059,"Arkansas","Hot Spring","35","24","23"
5061,"Arkansas","Howard","41","60","18"
5063,"Arkansas","Independence","14","16","9"
5065,"Arkansas","Izard","54","53","61"
5067,"Arkansas","Jackson","58","52","64"
5069,"Arkansas","Jefferson","67","13","65"
5071,"Arkansas","Johnson","29","48","52"
5073,"Arkansas","Lafayette","34","65","68"
5075,"Arkansas","Lawrence","57","44","43"
5077,"Arkansas","Lee","72","40","73"
5079,"Arkansas","Lincoln","37","71","58"
5081,"Arkansas","Little River","44","25","34"
5083,"Arkansas","Logan","39","46","28"
5085,"Arkansas","Lonoke","18","17","5"
5087,"Arkansas","Madison","13","57","25"
5089,"Arkansas","Marion","38","43","42"
5091,"Arkansas","Miller","51","14","50"
5093,"Arkansas","Mississippi","73","45","70"
5095,"Arkansas","Monroe","74","39","71"
5097,"Arkansas","Montgomery","33","74","60"
5099,"Arkansas","Nevada","28","32","45"
5101,"Arkansas","Newton","46","36","35"
5103,"Arkansas","Ouachita","60","9","41"
5105,"Arkansas","Perry","7","28","15"
5107,"Arkansas","Phillips","74","50","74"
5109,"Arkansas","Pike","12","73","20"
5111,"Arkansas","Poinsett","71","66","55"
5113,"Arkansas","Polk","36","67","46"
5115,"Arkansas","Pope","4","21","12"
5117,"Arkansas","Prairie","56","59","7"
