"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",66444,4434,42,2023,5,9,"4",17,6,8027,11549,7333,17,10
1003,"Alabama","Baldwin",65658,17707,42.3,2023,2,3,"5",4,4,8118,11603,8059,15,8
1005,"Alabama","Barbour",38649,2169,67.8,2023,52,62,"52",43,60,12877,15534,9950,28,12
1007,"Alabama","Bibb",48454,1937,68.4,2023,32,51,"31",56,51,11191,11737,11369,22,10
1013,"Alabama","Butler",39442,1841,71.2,2023,50,56,"51",58,56,12717,14141,12183,23,13
1015,"Alabama","Calhoun",48166,10729,33.7,2023,23,22,"40",30,26,11826,12233,12018,20,9
1017,"Alabama","Chambers",45447,3076,49.1,2023,43,37,"29",36,31,11059,10544,11004,22,13
1021,"Alabama","Chilton",55142,5003,86.7,2023,21,36,"16",59,20,10342,11094,10603,20,9
1023,"Alabama","Choctaw",40601,1056,100,2023,48,42,"44",15,50,12129,15799,9599,23,12
1025,"Alabama","Clarke",45447,2234,76,2023,57,58,"57",53,55,14428,16735,12930,24,13
1031,"Alabama","Coffee",55052,5305,47.2,2023,10,13,"10",32,9,9298,13258,9291,19,9
1033,"Alabama","Colbert",53341,4159,43.9,2023,26,16,"30",13,14,11072,13995,10732,19,11
1035,"Alabama","Conecuh",35621,912,80.9,2023,63,54,"63",61,53,15565,19263,12273,24,14
1037,"Alabama","Coosa",45954,822,100,2023,55,28,"55",10,38,13477,17958,10693,20,15
1039,"Alabama","Covington",44188,3159,69.7,2023,42,33,"43",44,29,12059,18134,11429,20,11
1041,"Alabama","Crenshaw",38037,1245,100,2023,39,43,"42",40,47,12025,12014,12633,21,11
1045,"Alabama","Dale",50086,4996,50.9,2023,16,21,"17",47,18,10385,10896,10838,20,8
1047,"Alabama","Dallas",33159,2932,45.6,2023,61,60,"61",29,62,15053,16585,11215,27,14
1051,"Alabama","Elmore",63147,6396,54.2,2023,8,10,"9",25,7,9205,11995,8721,17,9
1053,"Alabama","Escambia",40506,3552,63.5,2023,51,59,"53",63,54,13084,15275,12292,25,10
1055,"Alabama","Etowah",46308,10279,37.5,2023,33,24,"45",50,24,12211,14965,12075,19,9
1057,"Alabama","Fayette",46122,1573,80.2,2023,49,40,"47",14,41,12489,20741,11642,21,10
