"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Year"
1001,"Alabama","Autauga",66444,4434,42,2023
1003,"Alabama","Baldwin",65658,17707,42.3,2023
1005,"Alabama","Barbour",38649,2169,67.8,2023
1007,"Alabama","Bibb",48454,1937,68.4,2023
1009,"Alabama","Blount",56894,5607,90,2023
1011,"Alabama","Bullock",32027,730,51.4,2023
1013,"Alabama","Butler",39442,1841,71.2,2023
1015,"Alabama","Calhoun",48166,10729,33.7,2023
1017,"Alabama","Chambers",45447,3076,49.1,2023
1019,"Alabama","Cherokee",46365,2338,85.7,2023
1021,"Alabama","Chilton",55142,5003,86.7,2023
1023,"Alabama","Choctaw",40601,1056,100,2023
1025,"Alabama","Clarke",45447,2234,76,2023
1027,"Alabama","Clay",47036,1310,100,2023
1029,"Alabama","Cleburne",49769,1424,100,2023
1031,"Alabama","Coffee",55052,5305,47.2,2023
1033,"Alabama","Colbert",53341,4159,43.9,2023
1035,"Alabama","Conecuh",35621,912,80.9,2023
1037,"Alabama","Coosa",45954,822,100,2023
1039,"Alabama","Covington",44188,3159,69.7,2023
1041,"Alabama","Crenshaw",38037,1245,100,2023
1043,"Alabama","Cullman",55036,8613,73.2,2023
1045,"Alabama","Dale",50086,4996,50.9,2023
1047,"Alabama","Dallas",33159,2932,45.6,2023
1049,"Alabama","DeKalb",45062,10043,90.1,2023
1051,"Alabama","Elmore",63147,6396,54.2,2023
1053,"Alabama","Escambia",40506,3552,63.5,2023
1055,"Alabama","Etowah",46308,10279,37.5,2023
1057,"Alabama","Fayette",46122,1573,80.2,2023
1059,"Alabama","Franklin",45440,3677,70.4,2023
1061,"Alabama","Geneva",43206,2865,89.6,2023
1063,"Alabama","Greene",30225,597,100,2023
1065,"Alabama","Hale",41995,1143,89.2,2023
1067,"Alabama","Henry",56389,1403,87.8,2023
1069,"Alabama","Houston",48701,10521,33.8,2023
1071,"Alabama","Jackson",46998,4704,77,2023
1073,"Alabama","Jefferson",55210,48016,9.8,2023
1075,"Alabama","Lamar",44265,1131,100,2023
1077,"Alabama","Lauderdale",52222,7824,49.3,2023
1079,"Alabama","Lawrence",55555,3603,91.3,2023
1081,"Alabama","Lee",54188,13733,27.4,2023
1083,"Alabama","Limestone",69207,9237,57.6,2023
1085,"Alabama","Lowndes",36993,776,100,2023
1087,"Alabama","Macon",35354,1490,55.5,2023
1089,"Alabama","Madison",78386,28605,16.4,2023
1091,"Alabama","Marengo",42048,1445,69.3,2023
1093,"Alabama","Marion",44636,2584,88.9,2023
1095,"Alabama","Marshall",50858,11016,53.3,2023
1097,"Alabama","Mobile",49848,37270,20,2023
1099,"Alabama","Monroe",40997,1919,79,2023
1101,"Alabama","Montgomery",50645,19760,10.5,2023
1103,"Alabama","Morgan",56340,12712,38.6,2023
1105,"Alabama","Perry",31522,670,100,2023
1107,"Alabama","Pickens",43926,1568,100,2023
1109,"Alabama","Pike",38945,2954,51.7,2023
1111,"Alabama","Randolph",45889,2087,81.3,2023
1113,"Alabama","Russell",44849,5330,35.4,2023
1115,"Alabama","St. Clair",63015,7799,72.8,2023
1117,"Alabama","Shelby",85457,15429,22.9,2023
1119,"Alabama","Sumter",29490,980,100,2023
1121,"Alabama","Talladega",47331,6525,55.8,2023
1123,"Alabama","Tallapoosa",47444,3762,74.2,2023
1125,"Alabama","Tuscaloosa",56274,16181,25.5,2023
1127,"Alabama","Walker",46343,5244,74.1,2023
1129,"Alabama","Washington",49795,1604,100,2023
1131,"Alabama","Wilcox",30071,846,100,2023
1133,"Alabama","Winston",47176,2241,84.9,2023
2013,"Alaska","Aleutians East",71492,609,100,2023
2016,"Alaska","Aleutians West",86050,931,100,2023
2020,"Alaska","Anchorage",86152,22973,4.1,2023
2050,"Alaska","Bethel",54849,2690,73.9,2023
2060,"Alaska","Bristol Bay",88516,90,100,2023
2068,"Alaska","Denali",85251,178,100,2023
2070,"Alaska","Dillingham",58389,598,100,2023
2090,"Alaska","Fairbanks North Star",76754,8190,30.9,2023
2100,"Alaska","Haines",63155,205,100,2023
2105,"Alaska","Hoonah-Angoon",56555,266,NA,2023
2110,"Alaska","Juneau",89922,2341,21.5,2023
2122,"Alaska","Kenai Peninsula",71111,5485,79.3,2023
2130,"Alaska","Ketchikan Gateway",73260,1339,23.2,2023
2150,"Alaska","Kodiak Island",80863,1753,31.3,2023
2158,"Alaska","Kusilvak",38203,1186,NA,2023
2164,"Alaska","Lake and Peninsula",51205,220,100,2023
2170,"Alaska","Matanuska-Susitna",80164,9819,50.3,2023
2180,"Alaska","Nome",65578,1201,66.1,2023
2185,"Alaska","North Slope",95041,989,59.3,2023
2188,"Alaska","Northwest Arctic",67586,1008,57.5,2023
2195,"Alaska","Petersburg",71878,331,NA,2023
2198,"Alaska","Prince of Wales-Hyder",56226,844,NA,2023
2220,"Alaska","Sitka",78248,802,20.9,2023
2230,"Alaska","Skagway",65712,125,NA,2023
2240,"Alaska","Southeast Fairbanks",68347,801,100,2023
2261,"Alaska","Valdez-Cordova",NA,942,100,2023
2275,"Alaska","Wrangell",64732,278,NA,2023
2282,"Alaska","Yakutat",73014,93,100,2023
2290,"Alaska","Yukon-Koyukuk",44934,754,100,2023
4001,"Arizona","Apache",41002,9177,74.1,2023
4003,"Arizona","Cochise",55748,9232,36.3,2023
4005,"Arizona","Coconino",63829,14735,31.5,2023
4007,"Arizona","Gila",52665,4185,41.1,2023
4009,"Arizona","Graham",52644,3484,46.4,2023
4011,"Arizona","Greenlee",71669,591,46.6,2023
4012,"Arizona","La Paz",44330,2029,56.3,2023
4013,"Arizona","Maricopa",76230,416271,2.4,2023
4015,"Arizona","Mohave",48169,17646,23,2023
4017,"Arizona","Navajo",49057,11941,54.1,2023
4019,"Arizona","Pima",60604,83234,7.5,2023
4021,"Arizona","Pinal",70835,36487,21.9,2023
4023,"Arizona","Santa Cruz",49216,5692,26.9,2023
4025,"Arizona","Yavapai",57676,17959,33.2,2023
4027,"Arizona","Yuma",55991,22290,10.4,2023
5001,"Arkansas","Arkansas",50928,963,34.7,2023
5003,"Arkansas","Ashley",44030,1347,51.7,2023
5005,"Arkansas","Baxter",45116,2440,65.8,2023
5007,"Arkansas","Benton",78974,21937,25.2,2023
5009,"Arkansas","Boone",48700,2705,62.2,2023
5011,"Arkansas","Bradley",40454,926,49.6,2023
5013,"Arkansas","Calhoun",49977,328,100,2023
5015,"Arkansas","Carroll",49225,2677,72.8,2023
5017,"Arkansas","Chicot",34857,500,54.3,2023
5019,"Arkansas","Clark",47158,1355,54.4,2023
5021,"Arkansas","Clay",41419,960,58.9,2023
5023,"Arkansas","Cleburne",50200,1374,75.5,2023
5025,"Arkansas","Cleveland",53705,453,100,2023
5027,"Arkansas","Columbia",44651,1456,57.5,2023
5029,"Arkansas","Conway",47741,1197,70.5,2023
5031,"Arkansas","Craighead",52490,7453,32.2,2023
5033,"Arkansas","Crawford",54065,5534,52,2023
5035,"Arkansas","Crittenden",43821,3083,20.9,2023
5037,"Arkansas","Cross",45262,1033,56.8,2023
5039,"Arkansas","Dallas",42442,417,52.6,2023
5041,"Arkansas","Desha",39042,784,31.4,2023
5043,"Arkansas","Drew",46572,1124,48.6,2023
5045,"Arkansas","Faulkner",57573,8175,38.8,2023
5047,"Arkansas","Franklin",47834,1261,82.6,2023
5049,"Arkansas","Fulton",41557,720,92.9,2023
5051,"Arkansas","Garland",48053,6921,36.9,2023
5053,"Arkansas","Grant",67088,1001,75,2023
5055,"Arkansas","Greene",53920,2685,41.5,2023
5057,"Arkansas","Hempstead",41281,1660,55.8,2023
5059,"Arkansas","Hot Spring",51662,1945,66,2023
5061,"Arkansas","Howard",42733,979,67.5,2023
5063,"Arkansas","Independence",48957,2580,68.6,2023
5065,"Arkansas","Izard",40788,680,100,2023
5067,"Arkansas","Jackson",37815,888,65.1,2023
5069,"Arkansas","Jefferson",46100,3309,30.9,2023
5071,"Arkansas","Johnson",43003,2337,71.4,2023
5073,"Arkansas","Lafayette",38777,497,100,2023
5075,"Arkansas","Lawrence",44661,994,63.6,2023
5077,"Arkansas","Lee",29714,345,63.5,2023
5079,"Arkansas","Lincoln",45435,543,100,2023
5081,"Arkansas","Little River",46619,696,68.5,2023
5083,"Arkansas","Logan",45558,1339,71,2023
5085,"Arkansas","Lonoke",64633,4281,44.8,2023
5087,"Arkansas","Madison",49691,1350,100,2023
