"FIPS","State","County","Health_Outcomes_Rank","Health_Factors_Rank"
1001,"Alabama","Autauga","5","9"
1003,"Alabama","Baldwin","2","3"
1005,"Alabama","Barbour","52","62"
1007,"Alabama","Bibb","32","51"
1009,"Alabama","Blount","18","18"
1011,"Alabama","Bullock","54","63"
1013,"Alabama","Butler","50","56"
1015,"Alabama","Calhoun","23","22"
1017,"Alabama","Chambers","43","37"
1019,"Alabama","Cherokee","24","35"
1021,"Alabama","Chilton","21","36"
1023,"Alabama","Choctaw","48","42"
1025,"Alabama","Clarke","57","58"
1027,"Alabama","Clay","38","44"
1029,"Alabama","Cleburne","19","32"
1031,"Alabama","Coffee","10","13"
1033,"Alabama","Colbert","26","16"
1035,"Alabama","Conecuh","63","54"
1037,"Alabama","Coosa","55","28"
1039,"Alabama","Covington","42","33"
1041,"Alabama","Crenshaw","39","43"
1043,"Alabama","Cullman","11","14"
1045,"Alabama","Dale","16","21"
1047,"Alabama","Dallas","61","60"
1049,"Alabama","DeKalb","29","50"
1051,"Alabama","Elmore","8","10"
1053,"Alabama","Escambia","51","59"
1055,"Alabama","Etowah","33","24"
1057,"Alabama","Fayette","49","40"
1059,"Alabama","Franklin","30","46"
1061,"Alabama","Geneva","46","45"
1063,"Alabama","Greene","64","64"
1065,"Alabama","Hale","56","61"
1067,"Alabama","Henry","20","25"
1069,"Alabama","Houston","14","12"
1071,"Alabama","Jackson","37","26"
1073,"Alabama","Jefferson","22","6"
1075,"Alabama","Lamar","17","29"
1077,"Alabama","Lauderdale","7","7"
1079,"Alabama","Lawrence","41","38"
1081,"Alabama","Lee","3","4"
1083,"Alabama","Limestone","6","5"
1085,"Alabama","Lowndes","65","65"
1087,"Alabama","Macon","59","57"
1089,"Alabama","Madison","4","2"
1091,"Alabama","Marengo","58","41"
1093,"Alabama","Marion","36","27"
1095,"Alabama","Marshall","12","20"
1097,"Alabama","Mobile","28","23"
1099,"Alabama","Monroe","53","55"
1101,"Alabama","Montgomery","27","17"
1103,"Alabama","Morgan","15","15"
1105,"Alabama","Perry","66","66"
1107,"Alabama","Pickens","44","47"
1109,"Alabama","Pike","35","19"
1111,"Alabama","Randolph","25","48"
1113,"Alabama","Russell","40","30"
1115,"Alabama","St. Clair","9","11"
1117,"Alabama","Shelby","1","1"
1119,"Alabama","Sumter","62","52"
1121,"Alabama","Talladega","45","39"
1123,"Alabama","Tallapoosa","47","34"
1125,"Alabama","Tuscaloosa","13","8"
1127,"Alabama","Walker","60","31"
1129,"Alabama","Washington","31","53"
1131,"Alabama","Wilcox","67","67"
1133,"Alabama","Winston","34","49"
2013,"Alaska","Aleutians East","NR","NR"
2016,"Alaska","Aleutians West","14","6"
2020,"Alaska","Anchorage","8","3"
2050,"Alaska","Bethel","22","23"
2060,"Alaska","Bristol Bay","NR","NR"
2068,"Alaska","Denali","NR","NR"
2070,"Alaska","Dillingham","20","18"
2090,"Alaska","Fairbanks North Star","7","4"
2100,"Alaska","Haines","13","12"
2105,"Alaska","Hoonah-Angoon","17","17"
2110,"Alaska","Juneau","4","1"
2122,"Alaska","Kenai Peninsula","5","10"
2130,"Alaska","Ketchikan Gateway","10","7"
2150,"Alaska","Kodiak Island","1","5"
2158,"Alaska","Kusilvak","24","24"
2164,"Alaska","Lake and Peninsula","15","19"
2170,"Alaska","Matanuska-Susitna","6","9"
2180,"Alaska","Nome","21","20"
2185,"Alaska","North Slope","11","16"
2188,"Alaska","Northwest Arctic","23","21"
2195,"Alaska","Petersburg","12","8"
2198,"Alaska","Prince of Wales-Hyder","18","15"
2220,"Alaska","Sitka","3","2"
2230,"Alaska","Skagway","NR","NR"
2240,"Alaska","Southeast Fairbanks","2","13"
2261,"Alaska","Valdez-Cordova","9","11"
2275,"Alaska","Wrangell","16","14"
2282,"Alaska","Yakutat","NR","NR"
2290,"Alaska","Yukon-Koyukuk","19","22"
4001,"Arizona","Apache","15","15"
4003,"Arizona","Cochise","8","6"
4005,"Arizona","Coconino","9","5"
4007,"Arizona","Gila","13","9"
4009,"Arizona","Graham","10","8"
4011,"Arizona","Greenlee","6","4"
4012,"Arizona","La Paz","12","14"
4013,"Arizona","Maricopa","1","3"
4015,"Arizona","Mohave","11","11"
4017,"Arizona","Navajo","14","12"
4019,"Arizona","Pima","7","2"
4021,"Arizona","Pinal","2","7"
4023,"Arizona","Santa Cruz","3","10"
4025,"Arizona","Yavapai","5","1"
4027,"Arizona","Yuma","4","13"
5001,"Arkansas","Arkansas","49","28"
5003,"Arkansas","Ashley","58","67"
5005,"Arkansas","Baxter","9","5"
5007,"Arkansas","Benton","1","1"
5009,"Arkansas","Boone","7","6"
5011,"Arkansas","Bradley","66","55"
5013,"Arkansas","Calhoun","50","31"
5015,"Arkansas","Carroll","14","19"
5017,"Arkansas","Chicot","71","74"
5019,"Arkansas","Clark","15","15"
5021,"Arkansas","Clay","51","44"
5023,"Arkansas","Cleburne","33","22"
5025,"Arkansas","Cleveland","26","21"
