"FIPS","State","County","YPLL_Rate","YPLL_Black1","YPLL_Black2","YPLL_Black3","YPLL_Black4","YPLL_White1","YPLL_White2","YPLL_White3","YPLL_White4","Percent_Poor_Health","Percent_Low_Birthweight"
1001,"Alabama","Autauga",8027,11549,9369,13728,NA,7333,6411,8254,NA,17,10
1003,"Alabama","Baldwin",8118,11603,9971,13235,NA,8059,7555,8562,NA,15,8
1005,"Alabama","Barbour",12877,15534,12931,18136,NA,9950,7691,12209,NA,28,12
1007,"Alabama","Bibb",11191,11737,8711,15474,NA,11369,9516,13222,NA,22,10
1009,"Alabama","Blount",10787,NA,NA,NA,NA,NA,NA,NA,NA,18,8
1011,"Alabama","Bullock",11406,NA,NA,NA,NA,NA,NA,NA,NA,30,15
1013,"Alabama","Butler",12717,14141,11401,16881,NA,12183,9437,14930,NA,23,13
1015,"Alabama","Calhoun",11826,12233,10678,13787,NA,12018,11174,12861,NA,20,9
1017,"Alabama","Chambers",11059,10544,8657,12432,NA,11004,9116,12892,NA,22,13
1019,"Alabama","Cherokee",11396,NA,NA,NA,NA,NA,NA,NA,NA,19,8
1021,"Alabama","Chilton",10342,11094,7926,15107,NA,10603,9422,11784,NA,20,9
1023,"Alabama","Choctaw",12129,15799,11496,20102,NA,9599,6689,12509,NA,23,12
1025,"Alabama","Clarke",14428,16735,13919,19550,NA,12930,10286,15573,NA,24,13
1027,"Alabama","Clay",12554,NA,NA,NA,NA,NA,NA,NA,NA,21,8
1029,"Alabama","Cleburne",10530,NA,NA,NA,NA,NA,NA,NA,NA,19,8
1031,"Alabama","Coffee",9298,13258,10686,15831,NA,9291,8166,10417,NA,19,9
1033,"Alabama","Colbert",11072,13995,11180,16811,NA,10732,9585,11879,NA,19,11
1035,"Alabama","Conecuh",15565,19263,14778,23747,NA,12273,8584,15961,NA,24,14
1037,"Alabama","Coosa",13477,17958,12202,25490,NA,10693,7666,13720,NA,20,15
1039,"Alabama","Covington",12059,18134,13900,22368,NA,11429,10037,12821,NA,20,11
1041,"Alabama","Crenshaw",12025,12014,8163,17053,NA,12633,10053,15212,NA,21,11
1043,"Alabama","Cullman",10571,NA,NA,NA,NA,NA,NA,NA,NA,18,9
1045,"Alabama","Dale",10385,10896,8806,12986,NA,10838,9530,12147,NA,20,8
1047,"Alabama","Dallas",15053,16585,14800,18371,NA,11215,8729,13702,NA,27,14
1049,"Alabama","DeKalb",10883,NA,NA,NA,NA,12228,11132,13324,NA,23,8
1051,"Alabama","Elmore",9205,11995,10225,13764,NA,8721,7845,9596,NA,17,9
1053,"Alabama","Escambia",13084,15275,12744,17806,NA,12292,10622,13962,NA,25,10
1055,"Alabama","Etowah",12211,14965,12895,17035,NA,12075,11191,12959,NA,19,9
1057,"Alabama","Fayette",12489,20741,13782,29976,NA,11642,9480,13803,NA,21,10
1059,"Alabama","Franklin",10961,NA,NA,NA,NA,NA,NA,NA,NA,22,10
1061,"Alabama","Geneva",12682,15699,10995,21734,NA,12996,11122,14869,NA,22,8
1063,"Alabama","Greene",14803,NA,NA,NA,NA,NA,NA,NA,NA,32,16
1065,"Alabama","Hale",13407,16213,13014,19413,NA,9211,6599,11824,NA,26,12
1067,"Alabama","Henry",10034,13002,9000,17005,NA,9309,7166,11453,NA,20,11
1069,"Alabama","Houston",9505,13213,11730,14696,NA,8260,7462,9058,NA,20,11
1071,"Alabama","Jackson",11395,NA,NA,NA,NA,NA,NA,NA,NA,20,9
1073,"Alabama","Jefferson",11420,14310,13804,14816,NA,9275,8895,9656,NA,17,11
1075,"Alabama","Lamar",9968,NA,NA,NA,NA,NA,NA,NA,NA,20,9
1077,"Alabama","Lauderdale",9012,14185,11481,16888,NA,8532,7792,9272,NA,17,10
1079,"Alabama","Lawrence",12574,18794,13624,23965,NA,12900,11278,14522,NA,21,9
1081,"Alabama","Lee",7312,11344,10111,12577,NA,6180,5665,6695,NA,17,9
1083,"Alabama","Limestone",7852,8058,6422,9694,NA,8182,7439,8925,NA,17,9
1085,"Alabama","Lowndes",16606,NA,NA,NA,NA,NA,NA,NA,NA,28,15
1087,"Alabama","Macon",14740,NA,NA,NA,NA,NA,NA,NA,NA,26,13
1089,"Alabama","Madison",8360,10288,9555,11021,NA,8132,7707,8557,NA,15,10
1091,"Alabama","Marengo",15174,16808,13751,19864,NA,11947,8990,14904,NA,23,12
1093,"Alabama","Marion",11967,NA,NA,NA,NA,NA,NA,NA,NA,20,9
1095,"Alabama","Marshall",10517,NA,NA,NA,NA,10953,10125,11780,NA,19,8
1097,"Alabama","Mobile",10974,13877,13201,14554,NA,9592,9141,10042,NA,20,12
1099,"Alabama","Monroe",13664,19917,16205,23628,NA,8403,6471,10335,NA,24,12
1101,"Alabama","Montgomery",10524,12643,11964,13321,NA,7534,6805,8262,NA,20,13
1103,"Alabama","Morgan",10860,15044,12903,17185,NA,10639,9852,11426,NA,19,9
