"Category","Measure","Definition","Source","Years"
"Length of Life","Premature Death*","Years of potential life lost before age 75 per 100,000 population (age-adjusted).","National Center for Health Statistics - Mortality Files","2018-2020"
"Quality of Life","Poor or Fair Health","Percentage of adults reporting fair or poor health (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Poor Physical Health Days","Average number of physically unhealthy days reported in past 30 days (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Poor Mental Health Days","Average number of mentally unhealthy days reported in past 30 days (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Low Birthweight*","Percentage of live births with low birthweight (< 2,500 grams).","National Center for Health Statistics - Natality files","2014-2020"
"Tobacco Use","Adult Smoking","Percentage of adults who are current smokers (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
"Diet and Exercise","Adult Obesity","Percentage of the adult population (age 18 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2 (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Food Environment Index","Index of factors that contribute to a healthy food environment, from 0 (worst) to 10 (best).","USDA Food Environment Atlas; Map the Meal Gap from Feeding America","2019 & 2020"
NA,"Physical Inactivity","Percentage of adults age 18 and over reporting no leisure-time physical activity (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Access to Exercise Opportunities","Percentage of population with adequate access to locations for physical activity.","ArcGIS Business Analyst and Living Atlas of the World; YMCA; US Census TIGER/Line Shapefiles","2022 & 2020"
"Alcohol and Drug Use","Excessive Drinking","Percentage of adults reporting binge or heavy drinking (age-adjusted).","Behavioral Risk Factor Surveillance System","2020"
NA,"Alcohol-Impaired Driving Deaths","Percentage of driving deaths with alcohol involvement.","Fatality Analysis Reporting System","2016-2020"
"Sexual Activity","Sexually Transmitted Infections","Number of newly diagnosed chlamydia cases per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention","2020"
NA,"Teen Births*","Number of births per 1,000 female population ages 15-19.","National Center for Health Statistics - Natality files","2014-2020"
"Access to Care","Uninsured","Percentage of population under age 65 without health insurance.","Small Area Health Insurance Estimates","2020"
NA,"Primary Care Physicians","Ratio of population to primary care physicians.","Area Health Resource File/American Medical Association","2020"
NA,"Dentists","Ratio of population to dentists.","Area Health Resource File/National Provider Identifier Downloadable File","2021"
NA,"Mental Health Providers","Ratio of population to mental health providers.","CMS, National Provider Identification","2022"
"Quality of Care","Preventable Hospital Stays*","Rate of hospital stays for ambulatory-care sensitive conditions per 100,000 Medicare enrollees.","Mapping Medicare Disparities Tool","2020"
NA,"Mammography Screening*","Percentage of female Medicare enrollees ages 65-74 that received an annual mammography screening.","Mapping Medicare Disparities Tool","2020"
NA,"Flu Vaccinations*","Percentage of fee-for-service (FFS) Medicare enrollees that had an annual flu vaccination.","Mapping Medicare Disparities Tool","2020"
"Education","High School Completion","Percentage of adults ages 25 and over with a high school diploma or equivalent.","American Community Survey, 5-year estimates","2017-2021"
NA,"Some College","Percentage of adults ages 25-44 with some post-secondary education.","American Community Survey, 5-year estimates","2017-2021"
"Employment","Unemployment","Percentage of population ages 16 and older unemployed but seeking work.","Bureau of Labor Statistics","2021"
"Income","Children in Poverty*","Percentage of people under age 18 in poverty.","Small Area Income and Poverty Estimates","2021"
NA,"Income Inequality","Ratio of household income at the 80th percentile to income at the 20th percentile.","American Community Survey, 5-year estimates","2017-2021"
"Family and Social Support","Children in Single-Parent Households","Percentage of children that live in a household headed by a single parent.","American Community Survey, 5-year estimates","2017-2021"
NA,"Social Associations","Number of membership associations per 10,000 population.","County Business Patterns","2020"
"Community Safety","Injury Deaths*","Number of deaths due to injury per 100,000 population.","National Center for Health Statistics - Mortality Files","2016-2020"
"Air and Water Quality","Air Pollution - Particulate Matter","Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5).","Environmental Public Health Tracking Network","2019"
NA,"Drinking Water Violations+","Indicator of the presence of health-related drinking water violations. 'Yes' indicates the presence of a violation, 'No' indicates no violation.","Safe Drinking Water Information System","2021"
"Housing and Transit","Severe Housing Problems","Percentage of households with at least 1 of 4 housing problems: overcrowding, high housing costs, lack of kitchen facilities, or lack of plumbing facilities.","Comprehensive Housing Affordability Strategy (CHAS) data","2015-2019"
NA,"Driving Alone to Work*","Percentage of the workforce that drives alone to work.","American Community Survey, 5-year estimates","2017-2021"
NA,"Long Commute - Driving Alone","Among workers who commute in their car alone, the percentage that commute more than 30 minutes.","American Community Survey, 5-year estimates","2017-2021"
