Focus Area,Measure,Description,Source,Year(s),,,
HEALTH OUTCOMES,,,,,,,
Length of Life,Life expectancy*,Average number of years a person can expect to live.,National Center for Health Statistics - Mortality Files,2017-2019,,,
,Premature age-adjusted mortality*,"Number of deaths among residents under age 75 per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files,2017-2019,,,
,Child mortality*,"Number of deaths among children under age 18 per 100,000 population.",National Center for Health Statistics - Mortality Files,2016-2019,,,
,Infant mortality*,"Number of all infant deaths (within 1 year), per 1,000 live births.",National Center for Health Statistics - Mortality Files,2013-2019,,,
Quality of Life,Frequent physical distress,Percentage of adults reporting 14 or more days of poor physical health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2018,,,
,Frequent mental distress,Percentage of adults reporting 14 or more days of poor mental health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2018,,,
,Diabetes prevalence,Percentage of adults aged 20 and above with diagnosed diabetes.,United States Diabetes Surveillance System,2017,,,
,HIV prevalence,"Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV) infection per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",2018,,,
HEALTH FACTORS,,,,,,,
HEALTH BEHAVIORS,,,,,,,
Diet and Exercise,Food insecurity,Percentage of population who lack adequate access to food.,Map the Meal Gap,2018,,,
,Limited access to healthy foods,Percentage of population who are low-income and do not live close to a grocery store.,USDA Food Environment Atlas,2015,,,
Alcohol and Drug Use,Drug overdose deaths*,"Number of drug poisoning deaths per 100,000 population.",National Center for Health Statistics - Mortality Files,2017-2019,,,
,Motor vehicle crash deaths*,"Number of motor vehicle crash deaths per 100,000 population.",National Center for Health Statistics - Mortality Files,2013-2019,,,
Other Health Behaviors,Insufficient sleep,Percentage of adults who report fewer than 7 hours of sleep on average (age-adjusted).,Behavioral Risk Factor Surveillance System,2018,,,
CLINICAL CARE,,,,,,,
Access to Care,Uninsured adults,Percentage of adults under age 65 without health insurance.,Small Area Health Insurance Estimates,2018,,,
,Uninsured children,Percentage of children under age 19 without health insurance.,Small Area Health Insurance Estimates,2018,,,
,Other primary care providers,Ratio of population to primary care providers other than physicians.,"CMS, National Provider Identification",2020,,,
SOCIAL & ECONOMIC FACTORS,,,,,,,
Education,High school graduation,Percentage of ninth-grade cohort that graduates in four years.,EDFacts,2017-2018,,,
,Disconnected youth,Percentage of teens and young adults ages 16-19 who are neither working nor in school.,"American Community Survey, 5-year estimates",2015-2019,,,
,Reading scores*+,Average grade level performance for 3rd graders on English Language Arts standardized tests,Stanford Education Data Archive,2018,,,
,Math scores*+,Average grade level performance for 3rd graders on math standardized tests,Stanford Education Data Archive,2018,,,
Income,Median household income*,The income where half of households in a county earn more and half of households earn less.,Small Area Income and Poverty Estimates,2019,,,
,Children eligible for free or reduced price lunch,Percentage of children enrolled in public schools that are eligible for free or reduced price lunch.,National Center for Education Statistics,2018-2019,,,
Family and Social Support,Residential segregation - Black/White,Index of dissimilarity where higher values indicate greater residential segregation between Black and White county residents.,"American Community Survey, 5-year estimates",2015-2019,,,
,Residential segregation - non-White/White,Index of dissimilarity where higher values indicate greater residential segregation between non-White and White county residents.,"American Community Survey, 5-year estimates",2015-2019,,,
Community Safety,Homicides*,"Number of deaths due to homicide per 100,000 population.",National Center for Health Statistics - Mortality Files,2013-2019,,,
,Suicides*,"Number of deaths due to suicide per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files,2015-2019,,,
,Firearm fatalities*,"Number of deaths due to firearms per 100,000 population.",National Center for Health Statistics - Mortality Files,2015-2019,,,
,Juvenile arrests+,"Rate of delinquency cases per 1,000 juveniles",Easy Access to State and County Juvenile Court Case Counts,2018,,,
PHYSICAL ENVIRONMENT,,,,,,,
Housing and Transit,Traffic volume,Average traffic volume per meter of major roadways in the county.,EJSCREEN: Environmental Justice Screening and Mapping Tool,2019,,,
,Homeownership,Percentage of occupied housing units that are owned.,"American Community Survey, 5-year estimates",2015-2019,,,
,Severe housing cost burden,Percentage of households that spend 50% or more of their household income on housing.,"American Community Survey, 5-year estimates",2015-2019,,,
,Broadband access,Percentage of households with broadband internet connection.,"American Community Survey, 5-year estimates",2015-2019,,,
DEMOGRAPHICS,,,,,,,
All,Population,Resident population.,Census Population Estimates,2019,,,
,% below 18 years of age,Percentage of population below 18 years of age.,Census Population Estimates,2019,,,
,% 65 and older,Percentage of population ages 65 and older.,Census Population Estimates,2019,,,
,% Non-Hispanic Black,Percentage of population that is non-Hispanic Black or African American.,Census Population Estimates,2019,,,
,% American Indian & Alaska Native,Percentage of population that is American Indian or Alaska Native.,Census Population Estimates,2019,,,
,% Asian,Percentage of population that is Asian.,Census Population Estimates,2019,,,
,% Native Hawaiian/Other Pacific Islander,Percentage of population that is Native Hawaiian or Other Pacific Islander.,Census Population Estimates,2019,,,
,% Hispanic,Percentage of population that is Hispanic.,Census Population Estimates,2019,,,
,% Non-Hispanic White,Percentage of population that is non-Hispanic White.,Census Population Estimates,2019,,,
,% not proficient in English,Percentage of population that is not proficient in English.,"American Community Survey, 5-year estimates",2015-2019,,,
,% Females,Percentage of population that is female.,Census Population Estimates,2019,,,
,% Rural,Percentage of population living in a rural area.,Census Population Estimates,2010,,,
,,,,,,,
,*Indicates subgroup data by race and ethnicity is available.,,,,,,
,+ Not available in all states.,,,,,,
