,,,,Health Outcomes,,Health Factors,
FIPS,State,County,# of Ranked Counties,Rank,Quartile,Rank,Quartile
01000,Alabama,,67,,,,
01001,Alabama,Autauga,67,6,1,9,1
01003,Alabama,Baldwin,67,2,1,3,1
01005,Alabama,Barbour,67,51,4,59,4
01007,Alabama,Bibb,67,45,3,42,3
01009,Alabama,Blount,67,23,2,25,2
01011,Alabama,Bullock,67,54,4,65,4
01013,Alabama,Butler,67,57,4,55,4
01015,Alabama,Calhoun,67,36,3,19,2
01017,Alabama,Chambers,67,43,3,36,3
01019,Alabama,Cherokee,67,34,2,30,2
01021,Alabama,Chilton,67,18,2,39,3
01023,Alabama,Choctaw,67,48,3,49,3
01025,Alabama,Clarke,67,50,3,58,4
01027,Alabama,Clay,67,29,2,52,4
01029,Alabama,Cleburne,67,26,2,33,2
01031,Alabama,Coffee,67,8,1,13,1
01033,Alabama,Colbert,67,24,2,16,1
01035,Alabama,Conecuh,67,61,4,60,4
01037,Alabama,Coosa,67,56,4,47,3
01039,Alabama,Covington,67,42,3,34,2
01041,Alabama,Crenshaw,67,27,2,41,3
01043,Alabama,Cullman,67,14,1,17,1
01045,Alabama,Dale,67,13,1,18,2
01047,Alabama,Dallas,67,63,4,62,4
01049,Alabama,DeKalb,67,35,3,46,3
01051,Alabama,Elmore,67,7,1,11,1
01053,Alabama,Escambia,67,49,3,53,4
01055,Alabama,Etowah,67,32,2,24,2
01057,Alabama,Fayette,67,33,2,29,2
01059,Alabama,Franklin,67,21,2,43,3
01061,Alabama,Geneva,67,47,3,48,3
01063,Alabama,Greene,67,64,4,64,4
01065,Alabama,Hale,67,59,4,56,4
01067,Alabama,Henry,67,17,1,21,2
01069,Alabama,Houston,67,16,1,15,1
01071,Alabama,Jackson,67,44,3,31,2
01073,Alabama,Jefferson,67,20,2,6,1
01075,Alabama,Lamar,67,39,3,27,2
01077,Alabama,Lauderdale,67,9,1,7,1
01079,Alabama,Lawrence,67,31,2,37,3
01081,Alabama,Lee,67,5,1,4,1
01083,Alabama,Limestone,67,4,1,8,1
01085,Alabama,Lowndes,67,66,4,66,4
01087,Alabama,Macon,67,60,4,61,4
01089,Alabama,Madison,67,3,1,2,1
01091,Alabama,Marengo,67,55,4,40,3
01093,Alabama,Marion,67,28,2,45,3
01095,Alabama,Marshall,67,15,1,20,2
01097,Alabama,Mobile,67,22,2,22,2
01099,Alabama,Monroe,67,53,4,57,4
01101,Alabama,Montgomery,67,19,2,12,1
01103,Alabama,Morgan,67,11,1,10,1
01105,Alabama,Perry,67,65,4,63,4
01107,Alabama,Pickens,67,25,2,32,2
01109,Alabama,Pike,67,30,2,26,2
01111,Alabama,Randolph,67,46,3,44,3
01113,Alabama,Russell,67,38,3,28,2
01115,Alabama,St. Clair,67,12,1,14,1
01117,Alabama,Shelby,67,1,1,1,1
01119,Alabama,Sumter,67,58,4,54,4
01121,Alabama,Talladega,67,52,4,38,3
01123,Alabama,Tallapoosa,67,41,3,23,2
01125,Alabama,Tuscaloosa,67,10,1,5,1
01127,Alabama,Walker,67,62,4,35,3
01129,Alabama,Washington,67,40,3,50,3
01131,Alabama,Wilcox,67,67,4,67,4
01133,Alabama,Winston,67,37,3,51,4
02000,Alaska,,25,,,,
02013,Alaska,Aleutians East,25,NR,NR,NR,NR
02016,Alaska,Aleutians West,25,16,3,12,2
02020,Alaska,Anchorage,25,9,2,4,1
02050,Alaska,Bethel,25,23,4,24,4
02060,Alaska,Bristol Bay,25,NR,NR,NR,NR
02068,Alaska,Denali,25,12,2,5,1
02070,Alaska,Dillingham,25,21,4,19,3
