Focus Area,Measure,Description,Source,Year(s)
HEALTH OUTCOMES,,,,
Length of Life,COVID-19 age-adjusted mortality,"All deaths occurring between January 1, 2020 and December 31, 2020 due to COVID-19, per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files,2020
,Life expectancy*,Average number of years a person can expect to live.,National Center for Health Statistics - Mortality Files,2018-2020
,Premature age-adjusted mortality*,"Number of deaths among residents under age 75 per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files,2018-2020
,Child mortality*,"Number of deaths among residents under age 18 per 100,000 population.",National Center for Health Statistics - Mortality Files,2017-2020
,Infant mortality*,"Number of infant deaths (within 1 year) per 1,000 live births.",National Center for Health Statistics - Mortality Files,2014-2020
Quality of Life,Frequent physical distress‡,Percentage of adults reporting 14 or more days of poor physical health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2019
,Frequent mental distress‡,Percentage of adults reporting 14 or more days of poor mental health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2019
,Diabetes prevalence‡,Percentage of adults aged 20 and above with diagnosed diabetes (age-adjusted).,Behavioral Risk Factor Surveillance System,2019
,HIV prevalence+,"Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV) infection per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",2019
HEALTH FACTORS,,,,
HEALTH BEHAVIORS,,,,
Diet and Exercise,Food insecurity,Percentage of population who lack adequate access to food.,Map the Meal Gap,2019
,Limited access to healthy foods,Percentage of population who are low-income and do not live close to a grocery store.,USDA Food Environment Atlas,2019
Alcohol and Drug Use,Drug overdose deaths*,"Number of drug poisoning deaths per 100,000 population.",National Center for Health Statistics - Mortality Files,2018-2020
,Motor vehicle crash deaths*,"Number of motor vehicle crash deaths per 100,000 population.",National Center for Health Statistics - Mortality Files,2014-2020
Other Health Behaviors,Insufficient sleep‡,Percentage of adults who report fewer than 7 hours of sleep on average (age-adjusted).,Behavioral Risk Factor Surveillance System,2018
CLINICAL CARE,,,,
Access to Care,Uninsured adults,Percentage of adults under age 65 without health insurance.,Small Area Health Insurance Estimates,2019
,Uninsured children,Percentage of children under age 19 without health insurance.,Small Area Health Insurance Estimates,2019
,Other primary care providers,Ratio of population to primary care providers other than physicians.,"CMS, National Provider Identification",2021
SOCIAL & ECONOMIC FACTORS,,,,
Education,High school graduation+,Percentage of ninth-grade cohort that graduates in four years.,EDFacts,2018-2019
,Disconnected youth,Percentage of teens and young adults ages 16-19 who are neither working nor in school.,"American Community Survey, 5-year estimates",2016-2020
,Reading scores*+,Average grade level performance for 3rd graders on English Language Arts standardized tests,Stanford Education Data Archive,2018
,Math scores*+,Average grade level performance for 3rd graders on math standardized tests,Stanford Education Data Archive,2018
,School segregation,"The extent to which students within different race and ethnicity groups are unevenly distributed across schools when compared with the racial and ethnic composition of the local population. The index ranges from 0 to 1 with lower values representing a school composition that approximates race and ethnicity distributions in the student populations within the county, and higher values representing more segregation.",National Center for Education Statistics,2020-2021
,School funding adequacy+,The average gap in dollars between actual and required spending per pupil among public school districts. Required spending is an estimate of dollars needed to achieve U.S. average test scores in each district.,School Finance Indicators Database,2019
Income,Gender pay gap,"A ratio of women's median earnings to men's median earnings for all full-time, year-round workers, presented as ""cents on the dollar.""","American Community Survey, 5-year estimates",2016-2020
,Median household income*,The income where half of households in a county earn more and half of households earn less.,Small Area Income and Poverty Estimates,2020
,Living wage,Living wage is the hourly wage needed to cover basic household expenses plus all relevant taxes for a household of one adult and two children.,The Living Wage Calculator,2021
,Children eligible for free or reduced price lunch+,Percentage of children enrolled in public schools that are eligible for free or reduced price lunch.,National Center for Education Statistics,2019-2020
Family and Social Support,Residential segregation - Black/white,Index of dissimilarity where higher values indicate greater residential segregation between Black and white county residents.,"American Community Survey, 5-year estimates",2016-2020
,Residential segregation - non-white/white,Index of dissimilarity where higher values indicate greater residential segregation between non-white and white county residents.,"American Community Survey, 5-year estimates",2016-2020
,Childcare cost burden,Childcare costs for a household with two children as a percent of median household income,"The Living Wage Calculator, Small Area Income and Poverty Estimates",2021 & 2020
,Childcare centers,"Number of childcare centers per 1,000 population under 5 years old. ",Homeland Infrastructure Foundation-Level Data (HIFLD),2021
