,,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,# of Ranked Counties,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile,Rank,Quartile
01000,Alabama,,67,,,,,,,,,,,,
01001,Alabama,Autauga,67,4,1,8,1,9,1,11,1,5,1,54,4
01003,Alabama,Baldwin,67,5,1,2,1,6,1,4,1,3,1,2,1
01005,Alabama,Barbour,67,52,4,60,4,65,4,36,3,60,4,34,2
01007,Alabama,Bibb,67,31,2,35,3,55,4,44,3,50,3,50,3
01009,Alabama,Blount,67,24,2,13,1,15,1,54,4,18,2,51,4
01011,Alabama,Bullock,67,34,2,63,4,63,4,32,2,62,4,38,3
01013,Alabama,Butler,67,51,4,54,4,57,4,51,4,57,4,25,2
01015,Alabama,Calhoun,67,40,3,21,2,22,2,25,2,28,2,29,2
01017,Alabama,Chambers,67,29,2,47,3,42,3,29,2,39,3,48,3
01019,Alabama,Cherokee,67,33,2,23,2,29,2,43,3,22,2,64,4
01021,Alabama,Chilton,67,16,1,29,2,41,3,47,3,27,2,57,4
01023,Alabama,Choctaw,67,44,3,49,3,58,4,13,1,29,2,40,3
01025,Alabama,Clarke,67,57,4,58,4,60,4,45,3,55,4,65,4
01027,Alabama,Clay,67,48,3,39,3,53,4,50,3,40,3,4,1
01029,Alabama,Cleburne,67,20,2,17,1,26,2,60,4,21,2,41,3
01031,Alabama,Coffee,67,10,1,7,1,13,1,34,2,8,1,12,1
01033,Alabama,Colbert,67,30,2,22,2,16,1,20,2,16,1,5,1
01035,Alabama,Conecuh,67,63,4,59,4,47,3,62,4,54,4,22,2
01037,Alabama,Coosa,67,55,4,53,4,46,3,15,1,46,3,10,1
01039,Alabama,Covington,67,43,3,38,3,34,2,58,4,20,2,23,2
01041,Alabama,Crenshaw,67,42,3,41,3,48,3,57,4,49,3,27,2
01043,Alabama,Cullman,67,21,2,16,1,19,2,22,2,12,1,33,2
01045,Alabama,Dale,67,17,1,14,1,21,2,31,2,19,2,14,1
01047,Alabama,Dallas,67,61,4,62,4,59,4,26,2,63,4,59,4
01049,Alabama,DeKalb,67,26,2,40,3,35,3,65,4,31,2,1,1
01051,Alabama,Elmore,67,9,1,6,1,11,1,12,1,7,1,46,3
01053,Alabama,Escambia,67,53,4,46,3,54,4,61,4,53,4,63,4
01055,Alabama,Etowah,67,45,3,19,2,23,2,39,3,38,3,6,1
01057,Alabama,Fayette,67,47,3,42,3,36,3,9,1,34,2,16,1
01059,Alabama,Franklin,67,27,2,30,2,28,2,66,4,41,3,9,1
01061,Alabama,Geneva,67,50,3,27,2,45,3,53,4,42,3,18,2
01063,Alabama,Greene,67,59,4,67,4,67,4,55,4,64,4,19,2
01065,Alabama,Hale,67,54,4,57,4,62,4,56,4,59,4,61,4
01067,Alabama,Henry,67,14,1,26,2,24,2,19,2,25,2,13,1
01069,Alabama,Houston,67,11,1,24,2,27,2,8,1,14,1,8,1
01071,Alabama,Jackson,67,32,2,37,3,32,2,27,2,30,2,60,4
01073,Alabama,Jefferson,67,36,3,10,1,4,1,2,1,15,1,56,4
01075,Alabama,Lamar,67,13,1,32,2,44,3,24,2,33,2,35,3
01077,Alabama,Lauderdale,67,7,1,12,1,5,1,7,1,9,1,15,1
01079,Alabama,Lawrence,67,49,3,33,2,37,3,63,4,24,2,31,2
01081,Alabama,Lee,67,2,1,4,1,3,1,10,1,6,1,53,4
01083,Alabama,Limestone,67,3,1,5,1,7,1,16,1,4,1,30,2
01085,Alabama,Lowndes,67,66,4,64,4,61,4,23,2,67,4,67,4
01087,Alabama,Macon,67,58,4,55,4,39,3,28,2,61,4,66,4
01089,Alabama,Madison,67,6,1,3,1,2,1,3,1,2,1,3,1
